Genus,depth,Percent_Abundance,guild
Sva1033_unclassified_AB2,2.5,NA,2
Desulfuromusa_AB1,2.5,0.058468135,3
Desulfuromusa_AB2,2.5,NA,3
SEEP-SRB1_AB1,2.5,0.077957513,1
SEEP-SRB1_AB2,2.5,NA,1
Desulfobacula_AB1,2.5,0.136425648,1
Desulfobacula_AB2,2.5,NA,1
Desulfosarcina_AB1,2.5,0.038978757,1
Desulfosarcina_AB2,2.5,NA,1
Gallionella_AB1,2.5,0,5
Gallionella_AB2,2.5,NA,5
Fe/SO42-,3.5,4.558596051,-9
SRB,3.5,1.3214341,-10
FeRB,3.5,0.772349002,-8
SOB,3.5,0.655890518,-7
FeOB,3.5,0.030772387,-6
Desulfobulbus_AB1,3.5,0.675818374,2
Desulfobulbus_AB2,3.5,1.836085752,2
Desulfococcus_AB1,3.5,0.084477297,1
Desulfococcus_AB2,3.5,0.092317161,1
Sva0081_sediment_group_AB1,3.5,0.211193242,1
Sva0081_sediment_group_AB2,3.5,0.112832085,1
Arcobacter_AB1,3.5,0.042238648,4
Arcobacter_AB2,3.5,0.071802236,4
Cocleimonas_AB1,3.5,0.042238648,4
Cocleimonas_AB2,3.5,0.041029849,4
Thiobacillus_AB1,3.5,0.021119324,4
Thiobacillus_AB2,3.5,0.030772387,4
Sulfurimonas_AB1,3.5,0.168954593,4
Sulfurimonas_AB2,3.5,0.123089548,4
Sulfurovum_AB1,3.5,0.063357973,4
Sulfurovum_AB2,3.5,0.051287312,4
Mariprofundus_AB1,3.5,0,5
Mariprofundus_AB2,3.5,0.030772387,5
Deferrisoma_AB1,3.5,0.190073918,3
Deferrisoma_AB2,3.5,0.143604472,3
Geobacter_AB1,3.5,0.105596621,3
Geobacter_AB2,3.5,0.061544774,3
Geothermobacter_AB1,3.5,0.042238648,3
Geothermobacter_AB2,3.5,0.030772387,3
Geopsychrobacter_AB1,3.5,0.063357973,3
Geopsychrobacter_AB2,3.5,0.030772387,3
Sva1033_unclassified_AB1,3.5,0.549102429,2
Sva1033_unclassified_AB2,3.5,1.497589496,2
Desulfuromusa_AB1,3.5,0.063357973,3
Desulfuromusa_AB2,3.5,0.041029849,3
SEEP-SRB1_AB1,3.5,0.084477297,1
SEEP-SRB1_AB2,3.5,0.041029849,1
Desulfobacula_AB1,3.5,0.232312566,1
Desulfobacula_AB2,3.5,0.389783568,1
Desulfosarcina_AB1,3.5,0.042238648,1
Desulfosarcina_AB2,3.5,0.030772387,1
Gallionella_AB1,3.5,0,5
Gallionella_AB2,3.5,0,5
Fe/SO42-,4.5,3.770338784,-9
SRB,4.5,1.32333747,-10
FeRB,4.5,0.744855046,-8
SOB,4.5,0.67210437,-7
FeOB,4.5,0.127321956,-6
Desulfobulbus_AB1,4.5,0.820297596,2
Desulfobulbus_AB2,4.5,1.550862157,2
Desulfococcus_AB1,4.5,0.057230065,1
Desulfococcus_AB2,4.5,0.122436486,1
Sva0081_sediment_group_AB1,4.5,0.171690195,1
Sva0081_sediment_group_AB2,4.5,0.183654729,1
Arcobacter_AB1,4.5,0.076306753,4
