Number_of_sequences,AB-1-0-1,AB-1-1-2,AB-1-10-11,AB-1-11-12,AB-1-12-13,AB-1-14-15,AB-1-2-3,AB-1-3-4,AB-1-4-5,AB-1-5-6,AB-1-6-7,AB-1-7-8,AB-1-8-9,AB-1-9-10
5200,1166.753,1394.101,1941.577,1467.269,1615.249,1379,1385.444,1290.53,1399,1499,1543.243,1427.842,1805.206,1966.218
5300,1179.947,1409.14,1969.765,1485.95,1634.17,1395,1401.654,1305.41,1414,1512,1561.213,1444.908,1830.491,1994.057
5400,1193.164,1424.233,1997.981,1504.176,1653.504,1421,1417.311,1319.34,1435,1529,1579.627,1461.686,1855.522,2021.6
5500,1205.405,1439.979,2024.073,1521.935,1672.166,1435,1433.117,1334.296,1451,1548,1597.45,1477.913,1880.111,2050.642
5600,1218.573,1454.885,2050.901,1540,1689.441,1452,1448.828,1348.637,1466,1563,1615.97,1494.374,1904.734,2079.63
5700,1231.312,1469.709,2077.276,1556.791,1707.959,1468,1463.656,1362.175,1484,1580,1632.464,1510.92,1928.963,2108.161
5800,1243.627,1484.093,2103.135,1574.442,1725.95,1486,1478.713,1376.859,1499,1601,1650.098,1526.729,1953.043,2135.665
5900,1255.458,1498.98,2129.931,1591.439,1744.005,1498,1494.387,1390.776,1512,1618,1666.945,1543.252,1976.21,2163.093
6000,1268.14,1513.395,2155.514,1607.832,1761.608,1514,1509.38,1404.771,1522,1635,1684.615,1558.362,1998.702,2190.511
6100,1279.056,1528.589,2181.132,1625.301,1779.168,1525,1525.359,1418.775,1537,1655,1701.109,1574.024,2022.718,2217.812
6200,1291.3,1543.206,2208.193,1642.786,1796.7,1536,1539.755,1432.902,1551,1675,1717.556,1588.505,2045.311,2244.627
6300,1302.31,1557.101,2234.793,1660.365,1813.51,1550,1554.586,1446.466,1564,1693,1734.315,1603.772,2069.596,2271.117
6400,1314.437,1571.511,2260.563,1678.018,1831.585,1565,1568.398,1458.947,1583,1706,1750.655,1619.279,2093.229,2298.125
6500,1326.549,1585.891,2286.503,1695.081,1849.058,1585,1583.615,1472.832,1597,1719,1767.106,1634.144,2116.871,2323.912
6600,1338.106,1600.45,2312.21,1711.732,1865.705,1596,1598.568,1485.043,1615,1738,1783.203,1649.125,2140.192,2351.301
6700,1348.904,1615.452,2337.882,1729.318,1882.241,1614,1612.048,1497.083,1631,1757,1798.988,1663.916,2163.641,2378.275
6800,1360.453,1629.344,2363.935,1744.777,1899.335,1628,1626.49,1510.689,1641,1774,1815.209,1678.226,2186.887,2403.885
6900,1371.751,1643.043,2389.455,1760.992,1917.108,1637,1641.177,1523.371,1655,1785,1831.06,1692.864,2209.399,2430.635
7000,1383.885,1656.287,2415.185,1777.32,1933.252,1647,1655.319,1535.953,1670,1805,1846.162,1707.493,2233.677,2457.328
7100,1395.328,1669.753,2439.677,1794.243,1949.749,1658,1669.271,1548.119,1682,1819,1861.616,1722.761,2256.244,2483.456
7200,1405.974,1682.795,2463.789,1809.559,1965.215,1677,1683.503,1560.788,1700,1841,1878.011,1736.923,2279.621,2508.82
7300,1417.014,1696.406,2489.674,1825.976,1981.91,1684,1696.994,1573.576,1713,1850,1893.824,1751.437,2301.873,2535.016
7400,1427.973,1709.789,2514.05,1841.161,1996.691,1701,1710.952,1585.199,1726,1869,1909.845,1764.968,2323.842,2562.528
7500,1439.371,1722.874,2539.226,1856.753,2012.687,1709,1724.435,1597.449,1738,1882,1925.024,1778.59,2346.65,2588.379
7600,1450.993,1736.547,2564.263,1872.151,2028.64,1722,1738.315,1609.215,1757,1900,1940.205,1792.168,2370.053,2614.039
7700,1461.609,1749.84,2589.14,1887.248,2044.506,1732,1752.093,1620.557,1773,1915,1955.962,1806.09,2391.839,2639.501
7800,1472.362,1763.066,2613.723,1901.586,2060.28,1750,1764.648,1633.654,1793,1933,1972.339,1818.963,2415.034,2664.336
7900,1483.443,1775.157,2638.437,1915.863,2076.385,1763,1778.683,1645.947,1806,1949,1986.846,1832.595,2437.551,2690.773
