Number_of_sequences,AB-1-0-1,AB-1-1-2,AB-1-10-11,AB-1-11-12,AB-1-12-13,AB-1-14-15,AB-1-2-3,AB-1-3-4,AB-1-4-5,AB-1-5-6,AB-1-6-7,AB-1-7-8,AB-1-8-9,AB-1-9-10
39500,3565.162,4119.297,8386.059,5058.061,4856.548,3927,4231.737,3890.265,4298,4892,4912.253,4262.813,7704.485,8888.108
39600,3569.726,4123.664,8402.015,5065.433,4863.149,3934,4237.262,3895.008,4301,4899,4918.586,4268.434,7717.684,8905.814
39700,3574.572,4128.377,8415.936,5072.989,4868.795,3939,4242.321,3900.088,4309,4909,4924.429,4273.602,7730.925,8922.735
39800,3578.955,4132.919,8431.14,5079.979,4874.482,3942,4247.282,3905.161,4312,4918,4932.081,4278.585,7745.18,8939.757
39900,3584.193,4137.715,8447.38,5086.953,4880.145,3948,4252.878,3910.637,4322,4925,4938.795,4283.374,7758.39,8957.118
40000,3589.117,4142.768,8462.339,5094.752,4885.724,3955,4257.789,3915.299,4328,4931,4944.933,4287.863,7772.218,8974.663
40100,3593.443,4147.566,8476.799,5102.025,4891.332,3958,4262.592,3919.931,4334,4939,4951.707,4293.454,7786.864,8992.474
40200,3598.459,4152.475,8492.391,5109.109,4897.496,3961,4267.887,3924.97,4338,4944,4958.662,4298.955,7801.114,9008.726
40300,3603.235,4157.432,8507.117,5116.568,4903.451,3965,4273.512,3929.554,4342,4949,4964.505,4303.627,7815.95,9026.003
40400,3607.582,4162.381,8521.884,5123.972,4909.397,3969,4279.002,3934.526,4346,4955,4970.564,4308.818,7829.7,9042.632
40500,3612.217,4167.124,8537.865,5131.461,4915.58,3976,4284.425,3939.135,4351,4962,4976.759,4314.397,7844.472,9058.734
40600,3616.727,4171.627,8552.021,5139.047,4920.803,3978,4290.082,3944.441,4358,4970,4983.156,4318.955,7859.192,9075.561
40700,3621.478,4176.227,8567.446,5146.872,4927.105,3981,4295.403,3949.481,4363,4972,4989.572,4323.971,7873.193,9092.184
40800,3626.339,4181.314,8582.794,5154.558,4932.942,3985,4300.134,3955.029,4367,4974,4996.05,4328.656,7887.697,9108.687
40900,3630.722,4185.901,8597.566,5162.001,4938.625,3989,4304.915,3959.625,4374,4977,5002.604,4333.448,7901.693,9125.089
41000,3634.759,4190.608,8612.235,5169.32,4944.426,3996,4310.122,3964.338,4375,4985,5009.362,4338.328,7915.052,9141.933
41100,3639.077,4195.498,8627.659,5176.97,4950.6,4000,4314.944,3969.174,4382,4994,5015.515,4343.072,7928.047,9158.898
41200,3643.374,4199.952,8641.686,5184.569,4956.595,4003,4319.975,3974.237,4387,5002,5021.648,4347.914,7942.358,9174.833
41300,3648.191,4203.515,8655.559,5192.141,4962.265,4007,4324.881,3978.74,4393,5008,5028.188,4353.107,7956.226,9191.807
41400,3653.04,4207.935,8669.841,5199.472,4968.476,4012,4329.969,3982.939,4400,5015,5034.677,4357.839,7971.321,9207.563
41500,3657.348,4212.379,8685.111,5207.73,4974.086,4016,4335.182,3987.318,4404,5023,5041.008,4363.002,7985.853,9224.248
41600,3661.756,4217.348,8700.268,5215.077,4980.251,4021,4340.287,3992.407,4409,5030,5047.174,4367.296,8000.195,9240.922
41700,3667.315,4221.823,8715.309,5222.2,4985.247,4025,4345.327,3997.399,4413,5036,5053.538,4371.627,8014.09,9257.596
41800,3672.26,4226.19,8729.682,5229.667,4991.287,4028,4350.299,4002.066,4419,5041,5060.075,4376.822,8027.439,9274.555
41900,3676.676,4231.334,8744.168,5236.215,4996.657,4035,4355.585,4007.48,4426,5049,5065.988,4381.647,8041.29,9291.465
42000,3681.485,4236.077,8758.189,5243.567,5002.351,4039,4360.404,4012.763,4432,5055,5072.4,4386.706,8054.65,9308.212
42100,3685.337,4240.768,8773.454,5251.471,5007.231,4046,4365.28,4017.124,4434,5060,5079.079,4391.87,8068.461,9324.723
42200,3689.904,4245.718,8788.088,5258.428,5012.617,4049,4370.086,4022.031,4439,5066,5085.819,4397.35,8082.605,9340.818
42300,3694.344,4250.624,8803.261,5265.317,5017.947,4053,4374.754,4026.742,4444,5073,5092.067,4402.264,8096.385,9357.816
42400,3699.183,4255.039,8816.785,5272.227,5023.47,4059,4379.595,4031.612,4448,5079,5098.667,4407.344,8110.822,9375.748
42500,3703.609,4259.748,8830.975,5278.953,5029.507,4063,4385.051,4036.794,4451,5086,5104.488,4412.531,8125.147,9391.984
42600,3708.349,4264.763,8845.172,5286.396,5034.741,4067,4390.359,4041.887,4453,5089,5110.646,4417.574,8138.904,9408.722
42700,3712.741,4269.433,8861.298,5294.487,5039.992,4073,4395.613,4046.092,4459,5096,5117.404,4422.614,8152.166,9425.542
42800,3716.991,4273.989,8876.635,5301.51,5046.335,4076,4400.51,4050.923,4466,5103,5124.139,4427.463,8165.949,9442.152
42900,3721.555,4278.978,8892.031,5309.123,5051.247,4082,4405.444,4055.306,4473,5108,5130.058,4431.761,8179.328,9458.356
43000,3726.155,4283.408,8906.461,5317.124,5056.818,4085,4410.684,4060.32,4483,5111,5136.24,4436.593,8193.52,9475.244
43100,3730.689,4288.275,8921.335,5324.47,5062.57,4090,4415.707,4064.191,4484,5117,5143.018,4441.785,8206.811,9491.759
43200,3735.542,4293.286,8937.029,5332.093,5067.972,4095,4421.535,4068.713,4485,5121,5149.408,4446.289,8222.163,9508.342
43300,3740.273,4298.054,8951.754,5339.719,5072.87,4101,4426.671,4073.749,4493,5129,5155.14,4451.366,8236.194,9523.909
43400,3744.361,4302.43,8966.338,5347.184,5078.272,4103,4431.503,4078.767,4500,5136,5161.912,4456.194,8250.022,9539.853
43500,3748.807,4306.657,8981.792,5354.774,5084.11,4107,4436.678,4082.967,4507,5141,5168.078,4461.54,8263.559,9557.091
43600,3753.073,4311.458,8996.441,5362.482,5089.628,4109,4441.966,4087.79,4513,5147,5173.884,4466.826,8277.7,9572.702
43700,3757.85,4316.547,9010.8,5369.005,5094.961,4115,4447.712,4092.325,4518,5152,5180.55,4471.8,8291.753,9589.392
43800,3762.365,4320.887,9025.593,5375.792,5100.464,4120,4452.891,4097.047,4524,5157,5186.698,4476.227,8305.116,9606.335
43900,3766.715,4325.705,9040.932,5383.53,5106.957,4125,4457.987,4101.839,4529,5162,5193.078,4480.959,8319.025,9623.326
44000,3770.786,4330.04,9055.201,5390.985,5112.031,4127,4463.858,4106.37,4533,5165,5198.974,4485.633,8332.866,9640.068
44100,3775.276,4334.839,9069.96,5397.078,5117.643,4131,4468.763,4110.806,4538,5172,5205.449,4490.233,8346.442,9656.683
44200,3779.363,4339.191,9086.013,5404.341,5122.646,4134,4473.663,4115.095,4541,5175,5212.442,4494.977,8360.155,9673.547
44300,3784.2,4343.68,9100.553,5412.393,5128.296,4135,4478.538,4119.898,4549,5178,5218.344,4499.983,8373.784,9691.429
44400,3788.935,4348.316,9115.485,5420.475,5133.557,4140,4483.453,4124.601,4555,5186,5224.905,4504.83,8387.423,9708.795
44500,3793.129,4352.829,9130.732,5426.715,5139.385,4144,4488.385,4128.869,4559,5193,5231.612,4509.633,8400.912,9725.058
44600,3797.835,4357.599,9145.223,5433.808,5144.289,4149,4493.066,4133.363,4559,5199,5237.706,4514.456,8415.185,9741.552
44700,3802.701,4362.515,9159.907,5440.886,5150.131,4155,4497.746,4138.737,4561,5206,5243.361,4518.968,8429.416,9757.634
44800,3807.344,4367.132,9174.786,5447.574,5156.161,4159,4503.035,4143.536,4562,5214,5250.346,4524.217,8442.921,9773.659
44900,3811.949,4371.546,9188.487,5454.803,5161.984,4159,4507.943,4148.302,4567,5222,5256.16,4528.452,8457.517,9789.868
45000,3816.81,4376.171,9203.377,5461.72,5166.771,4165,4512.767,4152.967,4574,5226,5262.1,4532.978,8470.896,9806.184
45100,3820.965,4380.5,9218.569,5469.13,5171.598,4168,4517.491,4157.327,4576,5232,5268.543,4538.258,8483.063,9822.856
45200,3825.64,4384.746,9232.094,5475.672,5177.083,4172,4522.443,4162.295,4581,5237,5274.77,4542.463,8497.906,9839.21
45300,3830.207,4389.195,9246.816,5482.999,5182.39,4177,4527.571,4166.928,4585,5245,5281.079,4546.931,8511.622,9855.307
45400,3834.262,4393.471,9261.425,5490.237,5186.947,4180,4532.273,4171.042,4592,5252,5286.994,4552.109,8525.414,9872.881
45500,3838.47,4397.183,9275.825,5497.803,5191.873,4184,4537.545,4175.397,4595,5255,5293.22,4556.862,8538.83,9889.489
45600,3842.547,4401.621,9290.224,5504.619,5197.236,4188,4543.033,4180.22,4602,5261,5298.644,4561.471,8552.116,9905.341
45700,3846.299,4406.077,9304.356,5511.644,5202.645,4192,4547.839,4184.981,4607,5268,5305.222,4566.264,8565.296,9921.331
45800,3850.858,4410.149,9318.33,5519.047,5208.664,4195,4553.338,4189.477,4616,5274,5311.246,4570.599,8580.005,9937.434
45900,3855.065,4414.206,9333.336,5526.033,5213.645,4200,4558.679,4194.089,4621,5282,5317.999,4574.923,8594.971,9953.651
46000,3859.51,4418.025,9347.781,5532.951,5219.054,4205,4563.217,4198.719,4627,5284,5324.363,4579.891,8608.615,9969.686
46100,3864.277,4422.494,9361.617,5539.577,5223.924,4210,4567.702,4203.736,4631,5292,5331.021,4584.55,8622.964,9985.912
46200,3868.689,4427.044,9376.01,5546.605,5229.153,4213,4572.602,4208.141,4636,5300,5337.64,4589.252,8636.287,10001.865
46300,3873.383,4431.448,9391.286,5553.515,5234.116,4216,4576.918,4212.102,4641,5305,5343.688,4593.625,8650.62,10017.52
46400,3877.665,4435.656,9405.716,5560.26,5239.783,4218,4582.147,4216.774,4646,5310,5350.204,4598.327,8663.936,10033.825
46500,3881.816,4440.001,9419.158,5567.097,5245.321,4225,4587.226,4221.805,4651,5314,5356.392,4602.836,8677.172,10050.345
46600,3886.201,4444.534,9434.083,5574.247,5250.797,4229,4591.997,4226.237,4656,5318,5362.662,4607.183,8690.785,10066.545
46700,3890.21,4449.098,9448.406,5581.781,5256.371,4232,4596.759,4230.747,4659,5326,5369.232,4611.903,8703.798,10083.751
46800,3895.009,4453.454,9462.903,5588.8,5261.475,4237,4601.953,4235.326,4668,5333,5374.686,4616.345,8717.784,10099.206
46900,3899.302,4457.853,9477.629,5595.603,5266.621,4240,4606.994,4239.966,4675,5343,5381.175,4621.25,8731.671,10115.707
47000,3904.535,4461.966,9492.855,5602.259,5272.003,4244,4611.872,4244.381,4681,5347,5387.374,4625.904,8745.074,10132.272
47100,3908.243,4465.884,9506.842,5609.41,5276.771,4249,4616.881,4248.964,4684,5349,5393.343,4629.95,8758.541,10148.354
47200,3912.897,4470.079,9521.188,5616.282,5282.081,4253,4621.669,4253.967,4687,5357,5398.994,4634.278,8771.621,10165.051
47300,3917.536,4474.063,9535.657,5623.76,5287.496,4260,4626.398,4258.778,4692,5366,5404.83,4638.635,8785.135,10181.475
47400,3921.366,4478.067,9549.444,5630.631,5293.202,4263,4631.909,4263.51,4697,5371,5410.996,4642.729,8798.087,10197.819
47500,3925.785,4482.364,9563.794,5637.823,5298.972,4267,4637.15,4268.539,4703,5378,5417.231,4647.39,8810.577,10214.636
47600,3930.321,4486.902,9578.713,5645.069,5304.157,4270,4643.308,4272.635,4709,5381,5423.225,4651.443,8823.382,10230.744
47700,3934.475,4490.939,9592.968,5652.008,5309.341,4274,4648.293,4277.38,4715,5386,5429.481,4655.981,8837.447,10246.76
47800,3939.035,4495.416,9607.159,5658.845,5313.828,4279,4653.138,4282.269,4721,5390,5435.054,4660.454,8850.784,10262.949
47900,3943.243,4499.783,9621.507,5665.26,5318.895,4282,4658.069,4287.197,4730,5395,5440.704,4664.879,8863.49,10280.101
48000,3947.694,4504.64,9636.69,5671.55,5324.246,4283,4662.5,4291.83,4732,5398,5446.525,4669.52,8876.565,10296.121
48100,3951.841,4508.741,9651.158,5678.699,5329.43,4289,4667.481,4296.2,4736,5409,5452.839,4674.401,8890.217,10313.327
48200,3956.233,4512.61,9665.358,5686.619,5334.576,4292,4672.145,4300.558,4741,5421,5458.204,4678.788,8902.902,10328.549
48300,3960.687,4516.679,9680.917,5693.671,5339.534,4295,4676.958,4304.983,4747,5429,5463.819,4683.644,8915.568,10345.121
48400,3964.209,4520.286,9694.659,5701.346,5344.702,4298,4681.744,4309.361,4754,5432,5470.084,4688.394,8930.51,10361.808
48500,3968.053,4524.454,9709.544,5708.863,5349.876,4302,4686.733,4313.835,4759,5442,5476.158,4692.76,8944.74,10378.765
48600,3972.591,4528.892,9724.098,5714.875,5354.671,4303,4691.12,4318.108,4762,5446,5482.603,4697.123,8958.514,10395.065
48700,3976.959,4532.771,9738.746,5721.773,5360.093,4308,4695.186,4322.155,4765,5451,5488.114,4701.911,8971.189,10411.366
48800,3980.53,4536.306,9752.426,5729.212,5365.374,4311,4700.08,4326.595,4772,5456,5493.996,4707.244,8984.371,10426.932
48900,3984.588,4540.233,9766.908,5736.328,5370.489,4316,4704.643,4331.044,4779,5460,5499.321,4711.175,8997.446,10442.524
49000,3989.037,4544.2,9781.024,5742.862,5375.699,4320,4709.163,4335.233,4785,5465,5505.427,4716.466,9011.479,10458.668
49100,3993.326,4548.603,9795.026,5749.322,5380.95,4325,4713.38,4340.251,4790,5471,5511.148,4720.97,9024.254,10474.674
49200,3997.369,4552.532,9809.748,5756.016,5385.532,4329,4718.014,4344.255,4795,5475,5516.724,4725.26,9037.541,10490.028
49300,4001.179,4556.965,9824.887,5763.465,5390.351,4330,4722.464,4348.737,4799,5481,5522.369,4729.924,9050.957,10506.504
49400,4005.601,4561.051,9838.875,5770.975,5396.048,4335,4727.051,4352.838,4808,5487,5528.256,4734.812,9064.234,10521.463
49500,4009.388,4565.026,9853.075,5778.066,5401.163,4337,4731.582,4357.665,4812,5493,5534.128,4738.992,9077.614,10536.677
49600,4014.2,4568.962,9867.512,5785.178,5406.862,4340,4736.46,4362.567,4819,5498,5539.71,4742.915,9090.077,10553.167
49700,4018.542,4572.39,9882.511,5793.152,5411.265,4346,4741.576,4367.502,4824,5502,5545.355,4747.327,9103.594,10569.039
49800,4022.99,4576.837,9896.606,5800.198,5416.834,4350,4745.813,4372.71,4831,5507,5551.4,4751.413,9116.996,10584.17
49900,4026.737,4580.593,9910.674,5806.889,5422.048,4353,4750.745,4377.337,4834,5515,5557.078,4755.797,9130.138,10600.969
50000,4030.511,4584.437,9925.688,5813.315,5426.544,4358,4756.143,4381.367,4838,5524,5562.729,4760.154,9143.251,10617.846
50100,4035.076,4588.462,9940.226,5820.756,5431.882,4361,4761.068,4385.207,4843,5532,5569.149,4764.801,9156.081,10632.483
50200,4039.238,4592.261,9954.219,5827.729,5436.975,4367,4766.091,4389.368,4846,5537,5575.567,4769.169,9169.27,10648.416
50300,4043.444,4596.262,9968.463,5834.355,5442.093,4369,4770.853,4392.802,4850,5540,5581.62,4773.646,9183.291,10664.568
50400,4048.014,4599.662,9983.82,5841.612,5446.65,4371,4775.796,4397.047,4853,5545,5587.635,4778.223,9196.953,10679.703
50500,4052.354,4603.323,9998.262,5848.016,5451.356,4375,4780.787,4401.454,4859,5553,5594.209,4782.921,9209.524,10696.566
50600,4056.649,4606.938,10012.314,5856.094,5456.502,4378,4785.422,4406.139,4865,5559,5600.281,4787.828,9222.186,10712.645
50700,4061.089,4610.99,10026.938,5862.991,5461.477,4381,4790.464,4410.744,4871,5564,5606.828,4792.564,9235.014,10729.054
50800,4065.073,4614.967,10040.54,5870.121,5466.601,4385,4795.564,4414.799,4877,5569,5612.367,4797.098,9247.262,10744.478
50900,4069.107,4619.177,10055.463,5876.768,5471.402,4388,4799.855,4418.837,4880,5575,5618.071,4801.339,9260.933,10760.24
51000,4073.326,4622.449,10070.124,5883.876,5476.415,4392,4805.352,4423.056,4886,5579,5623.859,4805.056,9274.034,10776.09
51100,4077.5,4626.47,10084.868,5890.189,5481.76,4395,4810.398,4427.244,4888,5582,5629.829,4809.655,9287.537,10792.601
51200,4081.533,4629.988,10098.989,5896.807,5486.816,4399,4814.331,4431.377,4896,5586,5635.529,4813.874,9301.287,10808.753
51300,4085.204,4633.892,10112.788,5902.955,5491.808,4406,4819.203,4435.738,4900,5593,5641.538,4817.858,9314.125,10824.367
51400,4089.191,4637.391,10127.136,5909.664,5497.084,4407,4823.816,4440.046,4907,5600,5647.865,4822.61,9326.934,10839.768
51500,4093.348,4641.615,10141.21,5915.897,5501.937,4409,4828.205,4444.164,4912,5605,5653.127,4826.542,9340.437,10856.881
51600,4097.241,4645.751,10156.577,5922.527,5507.101,4412,4832.017,4448.455,4917,5609,5659.028,4830.536,9353.442,10872.581
51700,4101.671,4649.921,10171.4,5929.447,5512.337,4413,4836.651,4452.935,4919,5616,5664.866,4835.288,9366.152,10887.914
51800,4105.732,4654.014,10185.382,5936.442,5517.637,4418,4841.518,4456.828,4924,5623,5671.129,4839.659,9379.23,10903.151
51900,4109.467,4658.106,10199.642,5943.074,5522.544,4422,4846.124,4461.311,4927,5626,5676.684,4844.455,9391.671,10919.452
52000,4113.444,4661.891,10213.107,5949.068,5527.597,4424,4850.429,4466.08,4934,5635,5682.136,4848.847,9405.915,10935.23
52100,4117.415,4665.498,10228.402,5956.013,5532.571,4430,4855.471,4470.297,4937,5641,5688.207,4853.245,9417.908,10950.555
52200,4121.405,4669.54,10241.821,5962.199,5537.502,4435,4859.789,4474.314,4944,5647,5693.766,4857.265,9431.169,10966.494
52300,4125.143,4673.008,10256.852,5969.291,5542.876,4438,4864.28,4478.824,4948,5651,5699.521,4861.186,9445.216,10981.935
52400,4128.796,4677.01,10271.34,5976.413,5547.934,4440,4868.589,4482.805,4953,5658,5705.001,4865.325,9458.647,10997.407
52500,4132.628,4681.163,10284.69,5983.016,5552.408,4444,4872.285,4487.119,4957,5664,5710.477,4869.447,9471.372,11012.655
52600,4136.577,4685.461,10299.34,5989.084,5557.505,4447,4876.625,4491.227,4962,5667,5716.429,4874.026,9484.027,11029.289
52700,4140.923,4689.242,10313.149,5996.433,5562.799,4450,4881.051,4495.702,4966,5671,5722.043,4877.859,9497.964,11044.915
52800,4144.918,4693.322,10326.327,6003.287,5567.947,4453,4885.769,4500.256,4969,5676,5727.947,4882.393,9511.985,11060.693
52900,4148.93,4697.059,10339.783,6009.462,5572.72,4455,4890.298,4504.289,4974,5680,5733.728,4886.488,9524.789,11076.272
53000,4153.463,4701.398,10353.879,6016.123,5577.508,4461,4894.641,4508.975,4980,5685,5739.055,4890.859,9538.282,11093.042
53100,4157.412,4705.239,10366.184,6022.781,5582.569,4464,4900.077,4513.476,4986,5692,5745.211,4895.53,9551.253,11108.981
53200,4161.223,4708.846,10379.849,6029.721,5587.727,4468,4904.771,4518.241,4989,5696,5751.175,4899.987,9564.033,11125.55
53300,4165.531,4712.603,10393.832,6036.322,5592.589,4471,4909.026,4522.335,4993,5702,5757.098,4904.107,9576.75,11141.944
53400,4169.867,4716.695,10407.851,6042.955,5596.739,4475,4913.741,4526.704,4998,5705,5762.261,4907.979,9589.749,11157.185
53500,4174.158,4720.667,10421.992,6049.526,5601.557,4478,4918.251,4530.563,4999,5713,5767.636,4912.708,9603.197,11174.121
53600,4178.177,4724.203,10436.562,6056.122,5607.06,4483,4922.833,4534.862,5005,5717,5773.356,4916.988,9615.738,11189.909
53700,4182.362,4728.465,10450.728,6063.324,5611.674,4488,4927.151,4539.227,5007,5719,5779.553,4920.819,9628.799,11205.552
53800,4186.435,4732.822,10463.669,6070.273,5616.6,4493,4931.95,4543.099,5010,5724,5785.822,4924.506,9641.893,11221.961
53900,4190.193,4736.907,10476.782,6076.953,5621.432,4495,4936.525,4547.479,5017,5731,5791.81,4928.104,9655.295,11239.134
54000,4194.448,4740.582,10491.024,6083.699,5626.642,4498,4941.036,4551.458,5023,5735,5797.069,4932.26,9668.427,11254.639
54100,4197.987,4744.535,10504.297,6090.242,5631.175,4501,4946.333,4555.73,5030,5739,5802.811,4936.019,9681.609,11271.055
54200,4201.794,4748.551,10517.758,6096.899,5635.913,4502,4950.383,4559.728,5035,5750,5807.919,4940.523,9695.314,11285.98
54300,4206.072,4752.502,10532.396,6104.454,5640.571,4504,4955.289,4563.735,5038,5751,5813.219,4944.238,9708.565,11301.602
54400,4210.906,4755.928,10546.572,6110.941,5645.931,4508,4959.763,4568.13,5044,5758,5819.097,4948.621,9721.835,11316.702
54500,4214.825,4759.976,10560.869,6117.027,5650.417,4511,4964.226,4572.286,5051,5762,5824.846,4953.462,9733.639,11332.162
54600,4218.76,4764.077,10575.268,6123.867,5655.291,4515,4968.664,4576.26,5054,5768,5830.562,4956.986,9745.848,11347.691
54700,4222.582,4768.096,10588.861,6130.039,5659.976,4519,4973.383,4580.37,5060,5773,5836.057,4960.841,9759.41,11363.504
54800,4226.598,4771.389,10602.722,6136.779,5664.991,4524,4977.712,4584.333,5063,5777,5840.965,4965.535,9771.787,11378.457
54900,4230.65,4774.81,10616.38,6143.104,5669.687,4527,4981.704,4588.746,5068,5790,5846.624,4969.123,9785.666,11394.36
55000,4234.605,4778.245,10630.923,6149.161,5674.329,4530,4985.914,4592.907,5072,5796,5852.802,4972.877,9798.504,11410.045
55056,4236.754,4780.125,10638.487,6152.864,5676.623,4530,4988.333,4595.25,5072,5799,5856.083,4975.099,9805.936,11418.987
55100,4238.34,4781.884,10644.236,6155.354,5679.151,4531,4990.19,4596.975,5073,5800,5859.022,4976.614,9811.791,11426.166
55151,4240.22,4783.686,10650.407,6158.486,5681.665,4531,4992.509,4599.079,5077,5801,5861.492,4978.667,9818.352,11434.365
55200,4242.534,4785.585,10657.34,6161.388,5683.917,4533,4994.537,4601.42,5078,5807,5864.231,4980.211,9824.888,11442.096
55300,4246.365,4789.028,10671.695,6167.863,5688.652,4537,4998.876,4605.275,5084,5810,5869.523,4984.349,9837.315,11457.557
55400,4250.314,4792.343,10684.962,6173.534,5693.572,4538,5004.004,4609.156,5087,5818,5874.797,4988.837,9850.97,11472.842
55500,4254.739,4796.313,10698.164,6180.276,5698.115,4541,5008.299,4613.474,5092,5823,5880.267,4992.845,9863.741,11488.635
55530,4255.772,4797.409,10702.626,6182.298,5699.579,4541,5009.542,4614.84,5093,5825,5881.711,4994.3,9867.721,11493.429
55600,4258.674,4799.931,10711.87,6187.183,5703.546,4544,5012.806,4617.857,5101,5829,5885.516,4996.729,9876.981,11504.145
55700,4262.584,4803.777,10725.525,6193.291,5708.57,4549,5017.037,4622.015,5104,5833,5890.639,5001.18,9890.319,11520.273
55800,4266.42,4807.406,10739.436,6199.319,5713.063,4550,5021.636,4625.908,5106,5838,5896.415,5005.587,9903.215,11536.175
55810,4266.856,4807.745,10740.688,6200.101,5713.669,4552,5022.148,4626.349,5106,5839,5896.977,5006,9904.468,11537.468
55900,4270.079,4810.988,10753.181,6205.96,5717.968,4552,5025.975,4630.244,5108,5843,5902.266,8023.693,9916.029,11551.882
56000,4274.029,4814.53,10767.032,6211.923,5723.027,4559,5030.673,4634.424,5115,5852,5907.223,8033.072,9928.57,11567.665
56100,4277.815,4817.968,10780.704,6218.065,5728.288,4562,5034.585,4638.479,5118,5857,5912.643,8042.406,9941.967,11582.934
56200,4282.025,4821.821,10794.467,6224.336,5732.697,4565,5038.947,4642.944,5126,5861,5917.624,8051.531,9954.927,11597.722
56300,4286.191,4825.982,10807.954,6230.174,5737.08,4568,5043.853,4646.856,5132,5864,5923.43,8060.717,9968.17,11613.755
56400,4289.856,4829.76,10821.9,6236.379,5741.443,4571,5048.211,4650.606,5134,5868,5928.353,8070.035,9981.495,11630.229
56403,4289.907,4829.808,10822.291,6236.479,5741.591,4571,5048.285,4650.799,5134,5869,5928.595,8079.714,9982.027,11630.741
56500,4293.76,4833.096,10835.576,6242.942,5745.921,4574,5052.433,4655.105,5140,5875,5934.185,8088.817,9994.667,11646.409
56546,4295.441,4834.754,10842.16,6246.096,5748.234,4576,5054.264,4657.073,5142,5877,5936.642,8097.828,10000.161,11653.194
56600,4297.684,4836.512,10849.705,6249.544,5751.045,4577,5056.728,4659.446,5145,5878,5939.315,8107.197,10006.985,11661.422
56611,4298.141,4836.973,10851.285,6250.539,5751.563,4578,5057.316,4659.857,5145,5879,5939.732,8116.032,10008.471,11663.358
56700,4302.23,4839.784,10864.125,6256.11,5756.226,4581,5061.191,4663.238,5150,5880,5944.496,8125.355,10020.007,11676.856
56705,4302.425,4840.026,10864.617,6256.521,5756.446,4581,5061.433,4663.551,5150,5880,5944.644,8134.751,10020.717,11677.468
56776,4305.091,4842.617,10874.875,6261.224,5759.851,4583,5065.037,4666.646,5157,5890,5948.737,8144.259,10029.947,11688.353
56800,4306.328,4843.583,10877.761,6262.805,5760.975,4583,5065.918,4667.529,5159,5890,5950.073,8153.876,10033.3,11691.738
56864,4308.773,4846.063,10887.028,6267.244,5764.023,4585,5068.354,4670.188,5162,5893,5954.121,8163.239,10042.279,11702.068
56900,4309.779,4847.498,10892.463,6269.537,5765.78,4586,5070.317,4671.859,5164,5893,5956.048,8172.699,10047.723,11708.274
57000,4314.067,4850.943,10906.369,6275.958,5769.806,4588,5074.614,4675.75,5169,5898,5961.316,8182.019,10061.193,11723.949
57100,4317.942,4854.005,10921.091,6282.18,5773.999,4592,5079.269,4679.69,5172,5901,5967.168,8191.102,10075.073,11739.501
57124,4318.751,4854.928,10924.283,6284.144,5775.215,4592,5080.342,4680.86,5173,5902,5968.596,8200.527,10078.34,11743.541
57125,4318.847,4854.931,10924.43,6284.193,5775.264,4592,5080.367,4680.908,5173,5902,5968.597,8209.954,10078.509,11743.737
57128,4318.995,4855.029,10924.77,6284.291,5775.433,4592,5080.491,4681.103,5173,5902,5968.79,8219.157,10078.952,11744.367
57195,4321.057,4857.037,10934.121,6288.95,5778.655,4593,5082.804,4683.405,5176,5904,5972.145,8228.137,10087.548,11754.716
57200,4321.255,4857.23,10934.761,6289.339,5778.802,4593,5083.023,4683.479,5177,5904,5972.413,8236.297,10088.137,11755.474
57262,4324,4859.567,10943.698,6293.12,5781.921,4594,5085.442,4685.91,5180,5916,5976.048,8246.192,10097.167,11764.861
57300,6183.691,4860.91,10948.505,6295.52,5783.648,4594,5086.886,4687.187,5181,5918,5978.174,8255.037,10102.254,11770.801
57314,6190.214,4861.418,10950.773,6296.657,5784.38,4594,5087.568,4687.822,5181,5919,5979.119,8264.205,10103.916,11773.138
57380,6196.576,4864.223,10959.707,6300.831,5787.776,6756.042,5090.415,4690.423,5184,5924,5982.623,8273.522,10112.536,11783.318
57400,6203.365,4865.12,10962.466,6302.099,5788.825,6763.254,5091.172,4691.012,5185,5924,5983.595,8282.096,10115.473,11786.297
57426,6210.61,4865.906,10966.166,6303.588,5790.066,6770.185,5092.438,4692.159,5187,5926,5985.07,8291.337,10119.152,11790.322
57450,6217.333,4866.688,10969.435,6305.368,5790.998,6777.469,5093.368,4693.178,5188,5927,5986.624,8299.95,10122.205,11793.98
57500,6224.559,4868.135,10975.759,6308.642,5793.341,6784.348,5095.657,4695.322,5190,5931,5989.14,8308.81,10128.858,11801.753
57600,6231.101,4871.934,10989.423,6315.065,5797.765,6791.308,5099.955,4699.423,5194,5935,5994.107,8318.026,10142.165,11816.757
57655,6238.232,4873.954,10997.021,6318.766,5800.595,6798.502,5102.026,4701.527,5197,5938,5997.055,8326.384,10149.123,11825.612
57700,6245.168,4875.755,11003.624,6321.642,5802.322,6804.339,5103.614,4703.269,5200,5941,5999.584,8335.33,10154.752,11832.331
57800,6252.079,4879.246,11017.39,6327.992,5807.205,6811.328,5108.132,4707.174,5205,5949,6005.8,8343.954,10167.517,11847.848
57900,6259.293,4882.579,11031.043,6334.461,5811.717,6817.997,5112.18,4711.268,5212,5952,6011.05,8353.266,10180.501,11862.778
57908,6266.518,4882.898,11032.187,6335.16,5812.036,6824.941,5112.568,4711.513,5212,5953,6011.465,8361.805,10181.694,11863.74
