Number_of_sequences,AB-2-1-2,AB-2-13-14,AB-2-14-15,AB-2-16-17,AB-2-17-18,AB-2-18-19,AB-2-2-3,AB-2-3-4,AB-2-4-5,AB-2-0-1,AB-2-10-11,AB-2-12-13,AB-2-5-6,AB-2-6-7,AB-2-7-8,AB-2-8-9,AB-2-9-10
3900,1441.537,1393.622,1243.745,1448.818,1334.973,1249.919,1355.233,1461.531,1536.338,1373.966,1396.763,1328.419,1529.868,1570.853,1582.176,1579.941,1437.464
4000,1467.93,1419.645,1265.356,1475.219,1359.719,1273.614,1381.304,1488.746,1565.102,1397.83,1422.876,1353.138,1558.336,1599.455,1610.015,1608.087,1463.645
4100,1494.257,1446.037,1287.527,1501.487,1383.664,1296.205,1406.927,1515.643,1593.343,1421.785,1448.626,1376.454,1585.695,1627.759,1638.203,1636.652,1490.924
4200,1520.093,1470.739,1309.718,1527.596,1408.104,1318.06,1430.992,1542.301,1621.651,1445.873,1474.007,1399.692,1613.249,1656.564,1666.35,1664.525,1517.137
4300,1546.309,1495.438,1332.028,1553.994,1431.808,1339.661,1455.51,1569.517,1649.08,1468.545,1499.44,1423.739,1640.84,1684.658,1694.398,1693.394,1543.249
4400,1573.214,1519.196,1354.136,1579.924,1455.403,1361.888,1478.999,1596.13,1676.733,1492.032,1523.73,1446.332,1668.156,1712.266,1721.643,1721.476,1569.741
4500,1599.043,1543.592,1376.004,1604.736,1479.266,1383.373,1501.947,1622.483,1704.704,1514.99,1549.776,1469.657,1695.841,1741.302,1749.624,1748.34,1595.769
4600,1623.857,1568.678,1397.388,1630.738,1502.595,1404.737,1525.413,1648.259,1732.964,1537.246,1574.927,1493.021,1722.259,1767.902,1776.412,1776.115,1620.922
4700,1649.931,1592.94,1419.581,1655.24,1524.99,1426.22,1548.281,1674.153,1761.156,1559.062,1599.308,1514.198,1748.66,1795.081,1802.962,1803.486,1645.474
4800,1675.6,1617.162,1440.981,1680.378,1548.283,1448.715,1571.307,1700.041,1788.659,1580.981,1622.836,1537.032,1775.706,1821.529,1829.65,1830.403,1671.432
4900,1700.381,1640.519,1462.523,1705.216,1570.984,1470.466,1595.28,1725.76,1815.237,1603.229,1646.999,1558.785,1802.157,1849.415,1855.668,1856.281,1697.014
5000,1725.146,1664.173,1483.798,1729.327,1593.562,1491.63,1618.506,1750.818,1841.651,1625.617,1670.485,1581.103,1828.499,1877.22,1881.952,1882.639,1722.29
5100,1748.827,1688.15,1505.008,1753.698,1616.197,1512.608,1641.688,1775.274,1867.799,1648.055,1694.831,1602.442,1854.047,1903.368,1907.876,1908.968,1746.821
5200,1773.592,1711.597,1526.083,1777.482,1637.533,1532.625,1664.553,1798.896,1893.94,1669.336,1718.609,1623.84,1879.954,1929.655,1934.099,1935.255,1772.053
5300,1798.734,1734.531,1546.951,1800.964,1659.78,1552.974,1686.684,1824.159,1920.191,1691.573,1742.724,1645.366,1904.933,1955.945,1960.748,1962.196,1796.778
5400,1824.264,1757.198,1567.23,1825.652,1680.759,1574.964,1709.416,1849.44,1946.786,1713.23,1765.956,1666.726,1929.818,1981.507,1985.406,1987.571,1821.827
5500,1848.803,1779.885,1586.773,1849.746,1703.15,1595.905,1732.208,1874.248,1972.126,1734.876,1788.731,1688.419,1955.011,2007.405,2010.896,2012.758,1845.752
5600,1872.204,1801.5,1607.292,1873.092,1725.698,1616.258,1754.114,1896.823,1997.785,1756.014,1812.636,1709.376,1979.568,2033.383,2036.366,2038.168,1870.325
5700,1895.65,1823.289,1628.009,1895.52,1747.7,1636.618,1775.736,1920.762,2023.271,1777.205,1837.264,1730.126,2003.651,2059.002,2061.381,2062.965,1894.472
5800,1919.451,1845.99,1646.888,1919.569,1769.027,1656.779,1797.201,1945.261,2047.592,1798.59,1860.529,1751.664,2027.764,2083.332,2086.535,2087.863,1918.497
5900,1943.864,1868.48,1666.28,1943.589,1790.475,1676.849,1819.046,1969.469,2072.148,1819.514,1882.748,1772.169,2052.106,2108.725,2111.123,2112.942,1942.393
6000,1967.5,1890.519,1685.635,1965.642,1810.723,1696.812,1840.358,1994.128,2096.71,1840.246,1906.083,1793.267,2076.989,2133.814,2135.034,2137.385,1966.046
6100,1990.958,1912.564,1705.386,1988.072,1830.977,1717.261,1862.31,2018.396,2121.667,1861.098,1928.619,1814.224,2101.429,2158.827,2158.541,2161.788,1989.938
6200,2014.068,1934.145,1725.243,2011.276,1852.42,1736.928,1883.978,2041.737,2146.169,1881.982,1951.89,1834.061,2125.18,2183.292,2182.542,2186.139,2013.281
6300,2037.293,1955.955,1745.268,2033.802,1873.893,1756.544,1905.377,2065.397,2170.955,1903.068,1973.789,1854.227,2149.581,2207.765,2206.193,2210.332,2036.18
6400,2059.986,1978.392,1765.138,2057.003,1893.45,1775.588,1926.06,2088.656,2194.292,1923.917,1996.16,1873.92,2173.25,2231.838,2230.366,2235.446,2059.42
6500,2082.946,2000.076,1784.374,2079.254,1915.151,1794.988,1947.621,2111.167,2218.883,1943.025,2018.287,1893.888,2197.424,2256.525,2253.501,2259.737,2082.199
6600,2105.967,2020.971,1803.851,2100.897,1935.37,1813.848,1968.543,2133.724,2242.529,1962.897,2040.999,1913.606,2220.733,2281.161,2277.271,2283.533,2104.804
6700,2129.255,2042.745,1822.447,2122.542,1956.031,1833.891,1989.258,2156.759,2267.021,1982.249,2063.686,1934.009,2244.274,2305.429,2300.959,2307.313,2127.812
6800,2151.793,2064.704,1841.326,2145.004,1976.975,1853.054,2010.162,2179.574,2291.133,2002.746,2086.046,1953.96,2267.422,2329.4,2324.322,2331.403,2151.034
6900,2174.616,2086.101,1860.098,2167.198,1997.016,1871.778,2030.622,2202.122,2315.331,2021.843,2107.532,1973.538,2290.645,2353.112,2348.095,2354.175,2173.866
7000,2197.232,2107.149,1878.634,2188.879,2017.054,1890.69,2050.968,2224.368,2338.784,2041.244,2128.787,1992.601,2313.577,2377.486,2370.576,2376.691,2196.768
7100,2218.933,2128.262,1897.81,2212.356,2038.03,1908.761,2071.355,2247.328,2362.245,2060.928,2149.788,2012.229,2336.858,2401.694,2392.991,2399.791,2219.042
7200,2240.812,2149.384,1917.684,2235.01,2058.415,1927.759,2090.852,2270.007,2384.977,2080.174,2171.108,2031.896,2359.49,2424.954,2414.758,2422.832,2241.166
7300,2261.815,2170.458,1936.591,2257.45,2078.834,1945.93,2110.466,2292.272,2408.585,2099.441,2192.685,2051.423,2381.753,2447.809,2437.184,2445.933,2263.027
7400,2284.424,2191.611,1955.057,2279.011,2099.378,1964.217,2130.72,2315.685,2431.744,2119.044,2214.654,2069.783,2404.668,2469.395,2460.186,2469.079,2285.768
7500,2306.09,2212.486,1973.24,2300.884,2119.493,1982.137,2151.371,2338.655,2454.344,2138.607,2236.762,2089.098,2426.181,2492.049,2482.463,2490.899,2307.644
7600,2327.712,2233.299,1991.543,2322.245,2138.626,2000.344,2170.46,2360.676,2477.838,2158.877,2258.733,2107.576,2449.269,2515.209,2505.62,2512.758,2329.014
7700,2348.97,2254.237,2010.41,2343.206,2158.411,2017.723,2190.597,2383.048,2499.681,2178.743,2279.838,2126.711,2471.721,2537.323,2527.843,2535.421,2350.834
7800,2371.255,2274.735,2029.244,2363.761,2177.593,2035.323,2210.493,2404.938,2522.667,2198.424,2300.711,2146.302,2494.341,2560.22,2549.625,2557.063,2373.193
7900,2393.468,2294.876,2047.729,2385.225,2197.307,2054.053,2229.824,2426.774,2545.18,2217.642,2322.127,2164.487,2516.309,2583.524,2570.901,2579.215,2394.169
8000,2414.02,2314.519,2065.475,2406.817,2215.944,2072.094,2249.506,2448.523,2567.306,2236.797,2343.082,2183.064,2538.373,2606.116,2592.781,2601.903,2414.369
8100,2435.542,2334.637,2082.611,2426.902,2234.217,2090.154,2268.915,2470.366,2590.841,2255.202,2364.584,2201.419,2560.551,2628.853,2614.239,2624.145,2435.764
8200,2456.214,2354.777,2100.877,2447.436,2253.993,2108.166,2288.85,2492.476,2612.709,2274.488,2385.106,2219.192,2583.045,2650.509,2634.896,2646.284,2456.832
8300,2477.239,2374.21,2117.84,2468.443,2273.485,2126.056,2307.363,2513.62,2635.28,2294.083,2405.551,2237.289,2604.067,2673.096,2656.298,2667.923,2477.856
8400,2498.417,2393.961,2135.769,2488.694,2292.082,2143.699,2326.165,2534.133,2658.12,2312.335,2425.89,2254.919,2624.041,2695.124,2677.459,2690.01,2499.015
8500,2519.196,2413.547,2153.595,2508.572,2310.745,2161.231,2344.681,2555.524,2680.704,2331.069,2445.992,2273.338,2646.116,2717.925,2698.664,2712.076,2520.006
8600,2539.069,2433.514,2171.397,2529.268,2329.71,2179.105,2364.233,2576.255,2702.517,2349.568,2467.407,2292.333,2667.135,2740.448,2719.983,2734.284,2540.928
8700,2559.576,2452.139,2189.118,2550.393,2349.103,2196.88,2383.492,2596.815,2723.853,2368.005,2487.425,2310.174,2688.539,2761.829,2742.408,2755.859,2561.292
8800,2580.914,2471.381,2206.24,2571.045,2368.524,2214.325,2402.13,2617.865,2745.535,2386.581,2508.067,2327.308,2710.561,2783.346,2763.058,2777.767,2582.066
8900,2601.002,2491.192,2223.274,2590.707,2386.71,2230.677,2420.996,2638.455,2767.532,2404.314,2527.988,2345.015,2730.941,2803.837,2783.323,2799.206,2603.299
9000,2620.589,2510.23,2241.165,2611.215,2406.19,2247.584,2439.257,2659.063,2789.379,2422.74,2548.144,2362.839,2752.149,2825.997,2804.568,2821.257,2624.093
9100,2641.126,2529.532,2257.8,2630.799,2424.521,2266.13,2458.255,2680.133,2810.121,2440.399,2568.007,2380.919,2773.315,2847.071,2825.835,2841.78,2644.18
9200,2661.9,2548.741,2274.342,2650.972,2442.566,2283.854,2478.113,2701.001,2832.136,2457.596,2588.165,2398.887,2793.867,2868.406,2847.02,2862.78,2664.219
9300,2681.848,2568.565,2290.135,2670.958,2461.645,2301.206,2497.153,2721.553,2852.826,2475.36,2608.269,2416.77,2814.681,2890.004,2868.272,2883.69,2684.928
9400,2701.996,2586.24,2306.82,2689.67,2479.742,2317.822,2516.1,2742.343,2874.858,2493.899,2628.732,2433.953,2835.191,2912.027,2888.001,2905.017,2705.688
9500,2722.748,2605.254,2323.206,2709.258,2497.896,2334.559,2535.147,2762.287,2896.858,2511.256,2648.58,2451.304,2856.252,2933.279,2909.426,2926.075,2725.644
9600,2743.314,2623.562,2339.831,2728.998,2515.249,2351.644,2553.463,2782.92,2918.115,2529.046,2668.31,2468.691,2876.205,2954.521,2930.268,2945.794,2745.522
9700,2762.609,2643.281,2357.351,2749.331,2534.327,2368.429,2572.44,2803.834,2938.208,2546.693,2687.783,2486.136,2896.822,2975.853,2949.992,2966.099,2765.456
9800,2781.864,2662.331,2373.951,2769.463,2552.872,2385.264,2590.319,2823.941,2959.059,2562.95,2706.33,2502.896,2917.508,2996.79,2969.545,2986.128,2786.268
9900,2801.636,2680.647,2390.224,2788.753,2570.309,2402.333,2608.995,2844.559,2981.265,2580.492,2726.109,2520.346,2937.566,3018.671,2990.057,3006.379,2805.684
10000,2821.468,2698.585,2406.046,2808.385,2588.293,2418.874,2627.428,2865.478,3002.643,2597.583,2744.845,2537.111,2957.925,3038.956,3010.439,3026.795,2824.833
10100,2841.017,2716.488,2422.876,2828.087,2605.496,2435.891,2645.727,2885.63,3022.783,2615.025,2764.108,2555.506,2977.819,3059.813,3030.622,3046.881,2844.364
10200,2860.645,2734.793,2439.31,2847.485,2623.496,2452.117,2664.053,2905.751,3043.558,2631.843,2782.546,2572.777,2997.117,3081.204,3050.286,3067.632,2864.882
10300,2879.927,2753.903,2456.055,2867.932,2641.427,2467.687,2682.322,2926.251,3065.108,2648.928,2801.311,2590.049,3017.101,3102.099,3069.369,3087.574,2884.512
10400,2900.005,2772.421,2473.057,2887.723,2659.174,2484.25,2699.856,2946.541,3085.258,2665.705,2819.857,2606.072,3037.483,3122.392,3089.995,3108.001,2904.97
10500,2919.655,2790.808,2489.333,2906.841,2677.265,2500.682,2717.283,2965.455,3105.946,2682.494,2839.089,2622.957,3057.422,3142.883,3109.65,3127.773,2925.071
10600,2939.457,2809.35,2506.015,2925.968,2694.892,2516.937,2735.655,2985.375,3126.65,2700.409,2857.924,2639.403,3077.776,3163.52,3128.967,3147.249,2945.399
10700,2959.07,2827.848,2521.263,2945.956,2712.19,2532.389,2753.37,3005.3,3147.452,2717.886,2877.455,2656.435,3097.424,3184.431,3148.802,3166.937,2964.906
10800,2979.112,2845.78,2536.84,2964.119,2729.89,2548.74,2771.561,3025.474,3167.045,2734.587,2895.975,2672.884,3117.699,3205.103,3167.467,3186.396,2983.907
10900,2999.302,2863.866,2552.92,2983.688,2747.519,2564.584,2790.059,3045.147,3187.219,2751.511,2914.722,2688.985,3136.946,3226.043,3186.533,3206.488,3002.678
11000,3018.7,2881.88,2568.666,3001.928,2764.414,2580.439,2806.906,3065.219,3206.294,2769.202,2933.147,2706.45,3156.738,3245.881,3205.77,3226.305,3022.049
11100,3038.597,2899.429,2584.396,3020.037,2780.755,2596.164,2823.638,3085.647,3226.397,2786.601,2951.396,2723.189,3176.099,3265.466,3224.551,3244.964,3041.523
11200,3057.94,2918.217,2599.25,3037.793,2798.033,2612.276,2840.993,3105.43,3246.227,2802.999,2970.256,2740.318,3195.676,3285.272,3243.268,3264.115,3060.363
11300,3077.448,2935.407,2614.924,3056.271,2815.159,2628.402,2857.339,3123.879,3265.241,2819.145,2989.058,2756.797,3213.619,3304.752,3262.464,3283.919,3079.519
11400,3097.07,2953.855,2630.522,3074.591,2831.755,2643.483,2875.277,3143.11,3284.287,2835,3007.343,2773.336,3232.854,3324.672,3281.352,3303.854,3098.658
11500,3116.461,2971.22,2646.648,3092.864,2849.261,2659.532,2893.083,3162.153,3303.596,2852.165,3025.705,2789.437,3252.404,3343.819,3300.722,3323.299,3116.733
11600,3136.285,2989.598,2662.658,3111.749,2866.319,2675.508,2909.685,3180.853,3323.923,2868.457,3043.483,2805.889,3271.936,3363.413,3319.624,3341.907,3136.403
11700,3156.091,3006.996,2677.887,3129.785,2884.093,2691.271,2926.094,3200.479,3344.377,2885.451,3061.818,2821.319,3291.745,3383.705,3338.435,3361.643,3155.302
11800,3175.212,3024.465,2693.024,3148.049,2901.049,2707.609,2943.288,3219.705,3364.837,2901.962,3080.029,2837.1,3309.856,3403.172,3356.765,3380.653,3174.518
11900,3194.358,3041.545,2708.095,3166.484,2917.902,2722.955,2960.919,3238.249,3384.02,2917.898,3097.946,2853.582,3328.693,3422.643,3376.161,3399.622,3193.483
12000,3212.66,3059.171,2723.594,3184.598,2934.239,2739.519,2977.499,3257.184,3402.169,2934.456,3115.692,2869.859,3346.663,3441.365,3394.919,3417.901,3212.383
12100,3232.065,3076.487,2739.69,3202.449,2951.86,2755.853,2995.399,3276.236,3421.213,2950.814,3134.169,2884.939,3365.738,3460.387,3413.986,3437.592,3231.644
12200,3250.504,3093.964,2756.19,3220.15,2968.713,2771.584,3012.662,3296.054,3439.821,2966.865,3152.572,2901.207,3383.62,3480.148,3431.127,3456.413,3250.706
12300,3268.39,3111.289,2771.964,3238.972,2985.897,2787.424,3029.258,3315.276,3459.592,2983.047,3170.603,2917.187,3402.391,3499.207,3450.309,3475.077,3268.973
12400,3286.901,3129.106,2787.459,3256.858,3002.415,2802.925,3046.097,3335.034,3478.768,2998.877,3188.956,2932.318,3420.903,3518.949,3468.984,3494.705,3287.417
12500,3305.381,3146.679,2803.328,3275.263,3019.004,2817.867,3062.629,3354.237,3496.924,3014.311,3206.539,2947.615,3440.186,3538.548,3487.308,3513.768,3306.782
12600,3324.131,3163.278,2818.83,3293.429,3036.101,2832.895,3079.567,3373.141,3515.694,3030.058,3224.736,2962.29,3459.011,3558.074,3505.553,3532.812,3325.969
12700,3342.768,3180.043,2833.823,3311.607,3053.058,2848.706,3095.896,3391.569,3534.97,3046.008,3243.097,2977.307,3477.586,3577.428,3523.889,3551.013,3343.837
12800,3361.852,3197.448,2848.684,3328.875,3068.609,2863.962,3112.351,3410.537,3553.888,3061.782,3260.744,2993.047,3496.679,3596.224,3542.846,3569.358,3362.227
12900,3379.949,3214.749,2864.777,3347.52,3085.642,2878.814,3128.562,3428.739,3572.657,3078.071,3278.389,3008.759,3515.599,3614.426,3559.844,3587.847,3379.136
13000,3397.373,3231.902,2880.109,3365.068,3102.427,2893.697,3144.768,3446.96,3591.982,3093.756,3295.743,3024.184,3533.894,3633.304,3578.012,3606.626,3396.814
13100,3415.807,3248.646,2894.62,3383.439,3118.523,2909.389,3162.226,3465.574,3610.616,3110.023,3313.871,3039.551,3551.59,3652.263,3596.242,3625.188,3415.089
13200,3434.578,3265.33,2909.124,3400.554,3134.455,2924.559,3177.955,3483.549,3628.841,3125.543,3332.412,3055.043,3569.55,3671.885,3613.697,3644.511,3433.592
13300,3452.788,3281.74,2923.652,3417.737,3150.02,2939.129,3194.935,3501.555,3647.092,3141.805,3350.534,3070.517,3587.61,3690.383,3630.727,3662.79,3451.208
13400,3471.107,3299.035,2937.938,3435.324,3165.311,2953.94,3211.5,3519.802,3665.837,3157.556,3367.974,3085.972,3605.35,3709.673,3648.95,3681.394,3469.565
13500,3489.806,3316.365,2952.048,3452.448,3181.423,2969.062,3227.772,3538.167,3684.458,3173.115,3386.011,3100.826,3623.969,3727.912,3666.377,3699.75,3486.757
13600,3508.026,3332.432,2966.973,3470.766,3197.044,2983.772,3243.869,3556.397,3703.399,3189.483,3403.254,3115.639,3641.475,3746.47,3683.976,3718.088,3504.101
13700,3526.56,3348.682,2982.724,3488.401,3212.743,2998.712,3260.241,3574.53,3720.929,3205.915,3420.914,3130.956,3660.137,3764.065,3701.055,3735.933,3522.18
13800,3544.756,3365.359,2997.065,3505.764,3228.956,3013.922,3275.173,3592.196,3739.684,3221.175,3438.163,3144.862,3678.251,3782.974,3718.081,3754.224,3539.809
13900,3562.244,3382.277,3011.377,3522.494,3245.741,3029.108,3290.561,3609.752,3757.761,3236.921,3455.112,3159.598,3696.084,3801.511,3735.194,3771.859,3556.561
14000,3581.023,3399.015,3026.239,3539.061,3260.911,3043.812,3307.121,3627.495,3776.407,3252.715,3472.512,3174.405,3713.715,3819.673,3752.649,3789.74,3574.75
14100,3599.097,3415.267,3040.567,3556.877,3276.375,3058.09,3323.554,3645.737,3794.986,3269.278,3490.122,3189.643,3732.046,3838.193,3769.87,3807.026,3592.766
14200,3617.466,3431.514,3054.918,3574.076,3292.594,3073.635,3339.47,3664.027,3813.313,3284.912,3506.681,3204.8,3749.355,3856.011,3787.281,3824.331,3611.849
14300,3635.077,3448.191,3069.643,3591.794,3308.455,3088.879,3355.278,3681.648,3831.653,3299.801,3524.3,3220.063,3766.855,3873.295,3804.016,3841.096,3629.962
14400,3652.549,3463.848,3083.518,3608.75,3324.429,3103.259,3371.531,3699.683,3849.853,3314.858,3542.373,3235.528,3784.008,3891.014,3821.339,3858.305,3647.532
14500,3669.794,3480.242,3097.899,3625.245,3339.628,3117.226,3387.854,3717.436,3867.727,3329.948,3559.144,3250.935,3801.61,3908.89,3838.404,3875.943,3664.909
14600,3687.539,3496.974,3113.085,3642.431,3354.745,3132.414,3404.206,3735.03,3886.274,3344.969,3577.334,3265.999,3819.169,3926.29,3856.139,3892.908,3681.974
14700,3706.187,3513.062,3128.287,3659.112,3370.212,3147.452,3420.286,3753.583,3905.157,3360.158,3594.166,3279.924,3837.029,3944.733,3873.246,3910.146,3700.37
14800,3724.678,3529.788,3142.833,3675.58,3386.06,3161.227,3436.3,3771.714,3924.189,3375.028,3610.976,3294.831,3854.402,3963.396,3890.2,3927.08,3718.561
14821,3728.476,3533.604,3145.509,3678.767,3389.61,3164.541,3439.771,3775.551,3927.94,3378.337,3614.48,3298.044,3858.089,3967.085,3893.735,3930.664,3721.897
14900,3742.957,3546.613,3156.707,3691.877,3401.935,3175.796,3451.551,3789.637,3942.422,3390.583,3627.592,3309.905,3871.505,3981.298,3906.995,3944.436,3735.906
15000,3760.76,3563.35,3171.021,3708.759,3417.055,3190.105,3467.389,3806.489,3961.091,3405.718,3644.701,3325.385,3888.679,3998.8,3923.712,3961.322,3754.053
15100,3778.267,3578.516,3185.366,3725.141,3431.426,3203.479,3483.115,3823.846,3978.93,3420.124,3661.021,3340.512,3905.872,4017.366,3940.951,3978.12,3770.76
15200,3797.039,3594.883,3199.521,3742.364,3446.777,3217.62,3498.546,3841.47,3996.544,3436.146,3677.429,3354.48,3923.746,4034.954,3958.289,3995.991,3787.659
15300,3815.055,3610.925,3214.3,3758.834,3462.108,3231.732,3514.174,3858.018,4015.257,3451.687,3693.548,3370.01,3941.533,4053.194,3974.355,4013.635,3804.9
15400,3832.028,3627.297,3229.162,3775.503,3477.251,3245.992,3530.509,3875.157,4032.242,3466.632,3710.183,3384.235,3958.975,4070.111,3991.358,4030.185,3822.113
15500,3849.806,3642.526,3243.593,3792.233,3492.769,3261.025,3545.971,3892.844,4050.008,3481.542,3728.05,3399.016,3975.651,4088.14,4008.414,4046.629,3838.781
15600,3866.879,3659.25,3257.55,3808.323,3507.836,3274.856,3561.524,3910.434,4068.124,3496.697,3743.795,3413.436,3992.702,4105.776,4025.567,4063.492,3856.944
15700,3884.204,3674.236,3272.407,3824.424,3522.562,3289.049,3577.743,3927.165,4085.659,3511.351,3760.826,3427.886,4010.086,4123.377,4042.019,4081.129,3873.37
