Number_of_sequences,AB-2-1-2,AB-2-13-14,AB-2-14-15,AB-2-16-17,AB-2-17-18,AB-2-18-19,AB-2-2-3,AB-2-3-4,AB-2-4-5,AB-2-0-1,AB-2-10-11,AB-2-12-13,AB-2-5-6,AB-2-6-7,AB-2-7-8,AB-2-8-9,AB-2-9-10
62000,9993.994,9172.816,8098.543,9433.693,8819.32,8090.47,8873.349,9961.842,10080.293,8646.84,9543.395,8251.082,9823.244,10069.405,9596.861,9683.478,9901.524
62100,10005.287,9182.406,8106.934,9443.262,8828.456,8099.268,8882.639,9972.412,10091.223,8655.651,9553.5,8258.884,9833.905,10079.229,9606.331,9692.768,9912.202
62200,10015.764,9191.712,8115.27,9453.079,8837.332,8106.887,8891.904,9982.871,10101.871,8664.568,9564.538,8266.696,9844.186,10089.723,9616.413,9701.911,9922.386
62300,10026.751,9200.994,8123.475,9462.459,8846.71,8115.374,8900.699,9992.765,10111.995,8673.106,9574.398,8274.872,9854.948,10099.826,9625.97,9711.314,9933.675
62400,10038.193,9210.766,8132.099,9471.875,8855.612,8124.213,8909.2,10002.731,10122.344,8682.541,9584.062,8283.342,9865.108,10110.324,9634.832,9721.07,9944.607
62500,10048.868,9219.559,8140.156,9481.266,8865.107,8132.221,8917.704,10013.574,10132.406,8691.708,9594.256,8291.849,9874.595,10120.466,9643.9,9730.764,9955.642
62600,10059.52,9229.196,8148.339,9490.692,8873.829,8140.279,8926.842,10023.245,10143.571,8701.098,9604.596,8300.163,9884.165,10131.04,9653.413,9739.654,9966.801
62700,10070.118,9239.332,8156.119,9499.958,8882.441,8148.809,8935.467,10033.297,10153.674,8710.073,9614.579,8308.31,9894.375,10141.105,9662.94,9749.065,9977.513
62800,10080.613,9248.848,8164.341,9510.211,8891.522,8157.272,8944.285,10044.64,10164.398,8719.012,9623.778,8316.869,9904.172,10152.074,9672.002,9759.189,9988.407
62900,10091.178,9258.077,8172.697,9519.66,8899.777,8165.676,8953.224,10054.34,10175.555,8727.867,9633.86,8325.297,9914.61,10163.117,9681.595,9768.623,9999.432
63000,10102.338,9267.229,8181.061,9529.122,8909.282,8173.602,8962.433,10065.136,10185.762,8736.69,9643.416,8333.649,9924.596,10172.524,9690.206,9777.819,10009.984
63100,10112.531,9276.36,8189.459,9538.99,8918.712,8181.92,8971.427,10075.357,10196.334,8745.549,9653.036,8341.759,9934.733,10182.762,9699.661,9787.301,10020.757
63200,10123.388,9286.02,8198.014,9548.682,8927.681,8190.341,8980.609,10085.945,10206.639,8754.586,9662.462,8350.379,9944.259,10193.348,9709.796,9796.111,10031.51
63300,10133.37,9295.636,8206.228,9558.301,8937.137,8198.219,8989.771,10095.809,10216.936,8763.369,9672.778,8358.591,9953.502,10203.517,9719.253,9805.748,10042.417
63400,10144.246,9305.041,8214.719,9568.28,8946.44,8206.793,8998.767,10105.794,10227.291,8772.103,9682.823,8366.934,9963.464,10213.445,9728.484,9814.924,10052.813
63500,10154.242,9314.078,8222.925,9577.561,8955.1,8215.52,9007.584,10115.638,10237.57,8781.207,9693.408,8375.136,9973.502,10224.32,9737.316,9825.12,10063.171
63600,10165.191,9323.841,8231.059,9586.794,8964.804,8223.124,9016.1,10126.038,10247.947,8790.25,9703.38,8383.255,9982.979,10234.185,9746.452,9834.634,10074.178
63700,10175.821,9333.03,8239.221,9596.386,8973.832,8231.038,9024.948,10136.452,10258.114,8799.238,9713.384,8391.532,9992.365,10244.141,9755.982,9844.683,10085.091
63800,10186.555,9342.961,8248.105,9606.256,8982.868,8239.571,9034.323,10147.201,10268.491,8809.006,9723.61,8399.473,10002.726,10254.592,9765.401,9853.662,10095.821
63900,10197.609,9352.417,8256.267,9615.334,8991.861,8247.359,9043.658,10158.732,10278.689,8817.658,9733.473,8407.81,10012.762,10264.665,9774.964,9862.878,10106.609
64000,10207.924,9362.138,8264.799,9624.809,9000.997,8255.796,9053.018,10168.377,10288.326,8826.989,9743.564,8415.979,10022.696,10274.734,9784.012,9872.254,10116.67
64100,10219.205,9371.232,8272.62,9634.212,9010.227,8263.903,9062.281,10178.759,10298.125,8835.761,9754.026,8424.726,10032.51,10284.941,9793.539,9881.25,10126.461
64200,10230.033,9380.219,8280.722,9643.401,9019.57,8272.139,9071.258,10189.493,10308.267,8844.244,9763.978,8432.921,10042.539,10295.28,9802.587,9890.585,10137.917
64300,10241.299,9389.397,8289.158,9653.18,9028.903,8280.459,9080.714,10199.758,10318.578,8853.274,9773.708,8440.571,10052.178,10306.184,9811.812,9900.708,10148.228
64400,10251.493,9399.502,8297.637,9663.147,9038.802,8288.602,9089.685,10210.847,10328.587,8862.2,9783.528,8448.326,10062.002,10317.001,9821.298,9909.39,10158.16
64500,10262.73,9409.337,8306.081,9673.001,9047.736,8297.378,9098.993,10221.24,10338.813,8870.839,9793.436,8456.371,10072.249,10327.415,9830.911,9918.852,10168.945
64600,10273.242,9419.433,8314.66,9682.476,9056.914,8305.508,9106.919,10231.858,10348.811,8879.367,9803.156,8464.402,10082.541,10337.86,9839.757,9927.8,10178.971
64700,10284.869,9428.747,8322.517,9692.126,9065.941,8313.708,9115.697,10243.21,10359.017,8888.325,9813.438,8472.655,10091.422,10347.918,9849.106,9937.44,10189.609
64800,10295.624,9438.429,8330.405,9701.212,9075.166,8321.809,9124.78,10253.571,10368.399,8897.225,9824.546,8481.234,10101.426,10357.734,9858.172,9946.368,10200.913
64900,10306.376,9447.792,8338.782,9710.541,9084.804,8330.586,9133.361,10264.64,10378.463,8906.366,9835.145,8489.254,10111.403,10368.568,9867.92,9955.618,10211.3
65000,10317.476,9456.86,8347.287,9720.284,9093.71,8338.595,9142.348,10275.547,10389.028,8915.034,9845.049,8497.396,10121.733,10379.039,9876.565,9965.232,10222.574
65100,10327.955,9466.325,8355.889,9729.419,9102.747,8346.376,9151.385,10285.951,10398.904,8923.978,9854.34,8505.521,10132.09,10388.894,9886.287,9974.276,10233.822
65200,10338.974,9475.37,8364.092,9738.361,9111.695,8354.684,9161.131,10296.955,10408.971,8933.173,9864.152,8513.702,10142.142,10399.248,9896.076,9983.451,10244.586
65300,10349.969,9484.679,8372.809,9748.093,9121.068,8362.596,9170.109,10306.964,10418.928,8941.745,9873.932,8521.814,10152.085,10409.149,9905.324,9992.475,10255.867
65400,10361.372,9493.455,8381.618,9757.708,9130.598,8370.511,9178.906,10316.714,10429.137,8950.757,9883.928,8530.279,10161.888,10418.903,9914.502,10001.553,10266.651
65500,10373.057,9502.427,8389.797,9767.741,9139.543,8378.151,9187.77,10326.505,10439.118,8960.039,9893.64,8538.323,10171.158,10429.205,9923.558,10010.892,10277.228
65600,10383.389,9512.227,8397.98,9777.349,9148.781,8386.277,9195.893,10336.984,10449.323,8968.219,9903.564,8546.697,10181.226,10439.664,9932.744,10019.896,10287.745
65700,10394.219,9521.592,8406.061,9786.812,9157.935,8394.235,9204.858,10348.3,10459.455,8977.413,9913.562,8555.072,10190.669,10449.558,9941.508,10028.79,10298.409
65800,10405.215,9531.141,8414.412,9796.167,9166.992,8402.106,9213.833,10358.596,10469.861,8986.118,9923.475,8563.068,10200.415,10459.62,9950.787,10037.88,10308.406
65900,10415.432,9540.243,8422.832,9805.257,9176.201,8410.492,9223.343,10368.546,10480.444,8994.808,9933.347,8570.985,10210.122,10469.36,9959.548,10047.011,10318.778
66000,10426.271,9550.451,8431.261,9814.003,9185.048,8418.677,9232.468,10378.996,10490.681,9004.297,9943.483,8579.162,10220.054,10479.532,9969.317,10055.935,10329.219
66100,10437.135,9559.454,8439.299,9823.134,9194.281,8425.775,9241.334,10388.998,10501.097,9012.911,9953.807,8587.18,10229.448,10489.423,9978.245,10065.361,10339.489
66200,10447.607,9568.905,8447.374,9832.368,9202.875,8433.548,9249.738,10399.608,10510.87,9021.48,9963.646,8595.521,10239.602,10499.58,9987.781,10074.477,10350.571
66300,10457.92,9578.342,8455.569,9841.741,9211.48,8441.683,9259.44,10410.101,10521.02,9030.716,9973.399,8604.005,10249.636,10509.39,9996.905,10083.862,10361.64
66400,10468.789,9587.482,8463.38,9851.219,9220.719,8449.841,9268.798,10420.149,10531.551,9039.51,9983.159,8612.208,10258.777,10519.323,10005.569,10092.952,10371.752
66500,10479.442,9597.324,8471.75,9861.16,9229.551,8457.856,9277.998,10430.601,10541.578,9048.831,9992.922,8620.237,10268.53,10528.64,10014.327,10101.633,10382.36
66600,10489.65,9606.512,8479.861,9870.802,9238.985,8466.254,9286.521,10441.104,10551.593,9057.332,10002.792,8628.095,10278.753,10538.269,10023.827,10110.972,10392.677
66700,10499.808,9616.283,8487.815,9880.725,9248.401,8474.8,9295.511,10451.139,10561.53,9066.185,10012.699,8636.253,10288.184,10548.081,10033.077,10119.863,10403.589
66800,10510.296,9626.048,8496.339,9889.882,9258.191,8483.399,9305.077,10461.296,10572.288,9075.151,10022.761,8644.627,10298.06,10557.761,10041.962,10129.304,10414.111
66900,10520.766,9635.306,8504.592,9898.616,9267.651,8490.899,9313.823,10471.961,10582.266,9084.167,10032.235,8653.003,10307.885,10567.666,10051.301,10139.482,10424.386
67000,10531.5,9644.858,8512.907,9908.546,9276.25,8498.394,9322.817,10482.386,10592.571,9092.97,10042.069,8661.354,10318.087,10578.252,10061.128,10148.547,10435.46
67100,10541.957,9654.396,8521.468,9917.848,9285.453,8506.498,9331.971,10493.168,10602.546,9102.227,10052.312,8669.7,10327.702,10588.472,10069.751,10157.894,10445.893
67200,10552.621,9663.388,8528.963,9926.694,9294.144,8514.209,9341.027,10503.229,10612.82,9111.961,10062.546,8677.895,10336.801,10598.356,10078.553,10167.406,10456.577
67300,10563.908,9672.612,8537.478,9935.515,9303.021,8522.62,9349.804,10513.572,10622.401,9120.852,10071.814,8685.926,10346.87,10608.477,10086.924,10176.192,10467.146
67400,10573.811,9681.318,8545.635,9944.729,9312.354,8530.608,9358.744,10523.445,10633.164,9129.282,10082.529,8694.171,10356.222,10618.982,10095.971,10185.381,10477.429
67500,10585.294,9690.542,8553.581,9954.191,9320.953,8538.872,9367.808,10533.507,10643.42,9137.655,10091.977,8702.456,10365.805,10629.264,10104.782,10194.58,10487.532
67600,10595.945,9699.737,8561.28,9963.375,9330.283,8546.785,9376.612,10543.376,10653.528,9146.949,10101.507,8710.298,10374.744,10639.256,10113.507,10204.168,10498.082
67700,10606.755,9709.105,8568.93,9972.504,9339.418,8554.621,9385.883,10553.557,10663.848,9155.472,10111.455,8718.215,10384.667,10649.185,10122.586,10213.433,10508.573
67800,10618.005,9718.33,8577.141,9981.577,9348.267,8563.052,9394.22,10563.466,10674.036,9163.923,10120.517,8726.316,10393.883,10659.123,10131.754,10223.482,10518.97
67900,10628.468,9727.799,8585.003,9990.01,9357.664,8571.128,9403.122,10573.701,10683.986,9172.756,10130.684,8735.029,10403.83,10668.595,10141.287,10232.457,10529.654
68000,10638.799,9736.731,8593.021,9999.779,9366.595,8578.903,9411.778,10583.931,10694.113,9181.384,10140.775,8742.817,10413.385,10678.295,10150.693,10241.747,10539.247
68100,10650.325,9745.584,8601.074,10009.194,9375.353,8586.376,9420.298,10593.819,10704.228,9190.286,10150.524,8751.181,10423.072,10688.228,10159.793,10250.919,10549.204
68200,10660.31,9754.808,8608.909,10018.306,9383.866,8594.118,9429.512,10603.664,10713.845,9199.217,10160.106,8759.833,10432.199,10697.691,10169.124,10260.182,10559.806
68300,10670.815,9764.339,8616.959,10027.293,9392.847,8602.063,9438.171,10613.821,10723.746,9208.046,10169.614,8767.636,10442.009,10707.903,10178.005,10270.299,10570.215
68400,10680.972,9773.737,8624.722,10036.8,9401.476,8609.738,9447.056,10624.613,10733.743,9217.12,10179.482,8776.301,10451.94,10718.086,10187.486,10279.498,10580.52
68500,10691.776,9782.575,8632.725,10046.438,9410.622,8617.81,9456.112,10635.276,10744.105,9225.429,10189.712,8784.671,10461.701,10727.135,10196.699,10289.399,10590.523
68600,10702.009,9791.992,8640.951,10055.329,9419.322,8625.556,9464.811,10645.387,10754.719,9234.106,10199.525,8792.616,10470.427,10736.818,10205.736,10298.381,10600.775
68700,10712.193,9800.672,8648.788,10064.366,9428.418,8633.504,9473.448,10655.537,10765.008,9242.489,10209.107,8801.048,10479.89,10746.602,10215.357,10307.076,10611.276
68800,10722.314,9810.286,8656.526,10073.114,9437.112,8640.973,9481.96,10665.849,10774.644,9251.268,10218.901,8809.133,10489.551,10756.861,10225.08,10316.157,10621.231
68900,10733.543,9819.907,8664.406,10081.822,9446.172,8648.792,9490.597,10676.498,10784.296,9259.412,10228.68,8816.736,10498.958,10766.398,10233.963,10325.358,10631.72
69000,10743.996,9829.268,8672.33,10090.235,9455.032,8656.731,9499.046,10686.512,10794.424,9267.812,10237.632,8824.86,10508.15,10777.109,10242.451,10334.093,10641.447
69100,10754.487,9838.927,8680.21,10099.75,9464.507,8664.764,9507.92,10697.02,10804.353,9276.247,10247.102,8833.03,10518.477,10787.03,10251.076,10343.117,10652.133
69200,10765.427,9848.996,8688.039,10108.759,9473.506,8672.604,9516.597,10708.018,10814.242,9284.769,10257.05,8840.683,10528.429,10797.513,10259.543,10352.256,10663.067
69300,10776.76,9858.478,8696.123,10117.438,9482.239,8680.28,9525.718,10718.469,10824.653,9293.599,10267.178,8848.572,10538.198,10807.785,10268.893,10360.92,10673.133
69400,10787.023,9867.761,8704.543,10126.638,9491.472,8688.053,9534.505,10728.677,10834.328,9302.401,10277.063,8856.799,10548.42,10817.921,10277.863,10369.595,10684.071
69500,10797.157,9877.106,8713.54,10136.162,9500.748,8695.844,9543.576,10738.717,10843.849,9311.033,10286.627,8864.207,10558.066,10828.118,10286.525,10378.332,10694.618
69600,10807.751,9886.846,8721.221,10145.423,9510.279,8703.375,9552.608,10749.209,10854.326,9319.201,10296.265,8872.477,10567.881,10836.909,10296.059,10387.46,10705.019
69700,10818.294,9896.226,8728.991,10154.876,9519.472,8710.95,9561.835,10759.54,10864.094,9327.867,10306.129,8880.778,10577.397,10847.347,10304.871,10396.859,10715.222
69800,10829.637,9905.748,8737.159,10163.805,9528.225,8719.824,9570.404,10769.547,10874.064,9336.104,10315.824,8888.125,10586.573,10857.38,10313.398,10406.472,10725.789
69900,10839.871,9915.325,8745.199,10172.664,9536.785,8727.247,9579.095,10779.988,10884.577,9345.083,10325.943,8896.42,10596.27,10867.018,10322.033,10415.357,10736.475
70000,10850.322,9923.83,8753.158,10181.128,9545.714,8735.334,9588.016,10790.173,10894.632,9353.781,10335.659,8904.214,10605.772,10876.352,10331.202,10424.024,10746.752
70100,10860.223,9932.509,8761.329,10190.617,9555.298,8743.153,9596.445,10800.554,10904.307,9362.105,10345.018,8912.034,10614.976,10885.591,10339.877,10433.072,10757.207
70200,10870.786,9941.358,8769.421,10198.972,9564.588,8750.889,9605.102,10810.736,10914.329,9370.832,10353.794,8920.022,10624.486,10895.35,10348.499,10442.149,10767.596
70300,10881.13,9951.048,8777.627,10207.998,9573.795,8758.817,9614.394,10820.623,10923.956,9379.287,10363.822,8927.565,10633.675,10904.936,10358.101,10450.566,10777.976
70400,10892.229,9960.605,8785.903,10217.618,9582.708,8766.742,9623.332,10830.251,10933.652,9387.654,10373.545,8935.696,10642.81,10914.172,10367.122,10459.36,10787.875
70500,10902.406,9970.776,8794.103,10226.486,9591.137,8774.306,9632.263,10840.174,10943.025,9396.625,10382.888,8943.466,10652.137,10924.103,10376.185,10468.26,10798.039
70600,10912.304,9979.598,8801.242,10236.048,9599.906,8782.048,9640.54,10850.165,10951.954,9405.18,10392.408,8951.531,10660.976,10934.612,10384.674,10476.622,10808.236
70700,10923.075,9988.755,8808.93,10244.802,9608.993,8789.812,9649.243,10860.593,10961.8,9413.915,10402.554,8959.695,10670.361,10944.511,10393.579,10485.411,10818.64
70800,10933.385,9998.256,8816.536,10254.006,9617.939,8797.349,9657.977,10870.348,10971.478,9422.653,10411.953,8967.508,10679.347,10953.751,10402.818,10495.019,10829.084
70900,10943.556,10008.01,8824.329,10264.142,9626.802,8805.063,9666.619,10879.916,10981.213,9431.478,10422.097,8975.706,10689.296,10963.679,10411.38,10504.028,10839.328
71000,10954.198,10017.102,8832.648,10273.21,9636.786,8812.899,9675.79,10889.545,10990.824,9439.931,10431.44,8983.741,10698.695,10973.249,10420.319,10513.119,10849.305
71100,10965.001,10026.096,8840.317,10282.247,9645.509,8820.889,9684.405,10898.943,11000.834,9448.456,10441.007,8991.655,10708.3,10982.829,10428.793,10522.456,10859.918
71101,10965.129,10026.176,8840.398,10282.296,9645.574,8821.017,9684.502,10899.057,11000.946,9448.554,10441.135,8991.735,10708.444,10982.941,10428.921,10522.552,10860.08
71200,10975.844,10035.803,8847.624,10290.513,9654.518,8828.705,9693.248,10909.228,11010.683,9457.284,10450.811,9000.094,10717.763,10992.59,10437.603,10531.702,10870.212
71300,10986.282,10044.709,8855.105,10300.086,9663.539,8836.794,9701.59,10919.281,11020.37,9465.659,10460.082,9008.076,10726.592,11002.138,10446.034,10540.273,10880.233
71400,10996.328,10054.277,8862.993,10308.705,9672.239,8844.959,9710.316,10929.499,11030.479,9473.965,10470.242,9016.031,10736.268,11011.804,10454.793,10549.682,10890.418
71500,11007.274,10063.724,8870.906,10317.6,9681.215,8852.675,9719.39,10940.025,11040.01,9482.606,10479.035,9024.544,10745.915,11021.222,10463.7,10558.564,10900.561
71600,11017.624,10072.797,8878.04,10326.15,9689.962,8860.378,9728.05,10949.999,11049.37,9491.622,10488.924,9032.354,10755.293,11031.061,10472.952,10568.155,10910.442
71700,11028.817,10082.149,8886.355,10334.992,9698.521,8867.834,9736.128,10960.282,11058.688,9499.748,10498.607,9040.07,10764.248,11040.846,10482.11,10576.533,10920.766
71800,11038.746,10091.292,8894.407,10343.771,9706.612,8875.093,9744.702,10969.907,11068.714,9507.682,10508.358,9047.143,10773.077,11050.427,10490.654,10585.486,10931.414
71900,11048.887,10099.805,8902.204,10351.834,9715.492,8882.885,9753.917,10979.393,11078.424,9516.295,10518.238,9054.853,10782.156,11060.146,10499.594,10594.692,10942.424
72000,11059.064,10108.351,8910.389,10360.709,9723.775,8890.495,9762.702,10988.956,11088.275,9524.8,10527.967,9063.468,10791.755,11070.097,10508.054,10603.841,10952.482
72100,11070.786,10117.521,8918.497,10368.936,9732.667,8897.778,9770.676,10998.804,11098.825,9533.106,10537.22,9070.731,10800.511,11079.808,10516.55,10612.755,10963.035
72200,11081.308,10126.343,8926.696,10377.508,9741.299,8905.209,9779.144,11008.603,11108.301,9542.012,10546.672,9078.543,10809.97,11090.249,10525.539,10621.334,10973.036
72300,11091.456,10135.362,8934.241,10386.796,9750.43,8912.773,9788.22,11019.097,11117.698,9550.118,10556.581,9086.192,10819.922,11100.119,10534.461,10630.687,10983.102
72400,11101.805,10144.987,8942.913,10395.529,9759.345,8920.414,9796.962,11028.764,11127.769,9558.969,10565.924,9093.333,10829.14,11110.204,10543.226,10639.828,10993.21
72500,11111.885,10153.585,8950.427,10404.364,9768.571,8928.759,9805.404,11038.525,11136.902,9567.193,10575.462,9100.908,10839.229,11119.709,10552.713,10649.267,11002.576
72600,11122.351,10162.168,8958.29,10413.46,9777.149,8936.216,9814.527,11048.498,11146.766,9575.817,10585.392,9108.342,10848.199,11129.514,10561.28,10657.852,11013.74
72700,11132.441,10170.628,8965.437,10422.671,9785.955,8944.229,9822.55,11058.982,11156.245,9584.533,10594.684,9116.42,10857.674,11138.508,10570.204,10667.109,11024.346
72800,11143.095,10179.69,8973.028,10431.83,9794.358,8951.247,9830.979,11069.679,11165.933,9594.341,10604.186,9124.163,10867.544,11147.499,10578.96,10675.401,11034.034
72900,11153.327,10188.326,8980.783,10440.628,9803.669,8958.869,9839.125,11079.495,11175.157,9602.698,10614.296,9131.829,10877.575,11156.673,10587.888,10684.048,11044.503
73000,11163.244,10197.417,8988.733,10449.386,9812.568,8966.625,9848.412,11089.686,11185.131,9610.714,10622.844,9139.824,10886.944,11166.488,10596.575,10693.298,11054.407
73100,11173.122,10206.324,8996.131,10457.432,9821.708,8974.595,9857.402,11100.171,11194.38,9619.281,10632.177,9147.409,10896.289,11176.385,10605.078,10702.186,11064.206
73200,11183.729,10215.308,9004.424,10465.65,9830.068,8982.298,9865.77,11110.172,11203.705,9627.533,10641.89,9155.834,10905.603,11187.286,10613.877,10710.805,11074.23
73300,11194.523,10224.16,9012.095,10474.461,9838.513,8989.793,9874.155,11120.201,11213.825,9635.566,10650.907,9163.647,10914.696,11196.862,10622.374,10719.773,11084.14
73400,11205.451,10232.929,9020.585,10483.819,9846.871,8997.6,9882.421,11130.026,11224.214,9644.324,10660.848,9171.131,10924.386,11206.095,10631.069,10728.75,11093.705
73500,11215.986,10242.082,9027.674,10492.276,9855.35,9005.388,9890.799,11140.299,11233.686,9652.954,10670.522,9179.247,10933.827,11215.547,10639.536,10737.019,11103.382
73600,11226.523,10251.459,9035.131,10501.119,9864.668,9013.293,9898.53,11150.269,11243.127,9661.415,10680.237,9187.041,10943.554,11225.814,10648.408,10746.183,11114.39
73700,11237.045,10260.395,9043.009,10510.295,9872.611,9020.567,9906.519,11159.854,11253.44,9669.898,10689.175,9195.498,10953.343,11235.478,10656.506,10755.187,11124.38
73800,11247.58,10269.394,9050.779,10518.972,9881.191,9028.175,9915.5,11169.378,11263.379,9679.6,10698.16,9202.79,10962.931,11244.636,10665.595,10763.926,11134.819
73900,11258.278,10278.581,9058.823,10528.156,9890.204,9035.668,9924.426,11179.48,11273.121,9687.885,10707.79,9210.835,10972.437,11254.419,10674.74,10772.838,11144.541
74000,11268.77,10287.306,9066.601,10536.998,9898.346,9043.517,9933.176,11189.554,11282.309,9695.71,10718.075,9218.228,10982.206,11264.669,10683.759,10781.2,11154.558
74100,11278.733,10296.491,9074.461,10545.866,9907.563,9050.937,9942.132,11199.037,11292.097,9703.879,10728.001,9226.221,10991.616,11274.503,10692.844,10790.342,11164.056
74200,11289.323,10305.332,9082.907,10555.115,9915.921,9059.759,9950.062,11208.851,11301.754,9711.936,10738.073,9234.381,11000.666,11283.473,10701.24,10799.054,11174.973
74300,11299.197,10314.084,9089.984,10564.129,9924.63,9067.517,9958.575,11218.683,11311.497,9719.934,10747.354,9241.779,11010.033,11293.063,10710.149,10807.879,11185.205
74400,11309.119,10323.578,9098.497,10572.758,9933.489,9075.152,9967.553,11228.335,11321.645,9728.413,10756.635,9249.526,11018.681,11302.808,10718.596,10816.534,11195.221
74500,11319.131,10332.152,9106.417,10581.519,9942.492,9082.512,9976.066,11238.698,11331.019,9737.143,10766.098,9257.172,11028.133,11312.645,10727.64,10824.988,11205.486
74600,11329.17,10340.581,9114.45,10590.223,9951.03,9089.965,9984.53,11248.496,11340.321,9745.078,10775.088,9264.341,11037.171,11321.253,10736.177,10833.873,11216.232
74700,11339.661,10349.396,9122.544,10598.798,9959.905,9097.183,9992.562,11258.319,11350.182,9753.414,10783.659,9271.935,11047.056,11330.147,10744.658,10842.571,11226.226
74800,11350.488,10358.26,9130.032,10607.258,9968.304,9104.503,10000.29,11267.584,11359.96,9762.288,10792.996,9279.294,11056.859,11340.295,10753.606,10851.623,11235.896
74900,11360.533,10367.437,9137.867,10615.801,9976.958,9111.9,10008.616,11278.056,11370.067,9771.107,10802.86,9286.714,11065.528,11349.685,10763.241,10860.99,11246.224
75000,11370.601,10376.278,9145.555,10624.095,9985.33,9119.633,10017.013,11287.714,11380.032,9779.494,10812.387,9294.324,11073.9,11358.852,10772.133,10870.094,11255.715
75100,11380.738,10385.328,9152.754,10633.286,9994.151,9127.472,10025.515,11297.966,11389.353,9788.208,10821.978,9301.694,11083.614,11368.543,10780.521,10878.775,11265.709
75200,11390.52,10394.481,9160.893,10641.934,10002.645,9135.346,10034.343,11308.042,11398.642,9796.876,10831.253,9309.297,11092.515,11378.334,10788.633,10887.969,11275.429
75300,11400.505,10402.643,9168.343,10649.902,10011.39,9143.07,10043.286,11317.459,11408.512,9805.343,10840.919,9317.466,11101.784,11387.825,10797.783,10896.78,11285.746
75400,11410.069,10411.578,9175.86,10658.444,10019.903,9150.771,10050.941,11327.473,11417.885,9813.262,10850.093,9324.921,11110.982,11397.69,10806.662,10905.355,11295.874
75500,11420.124,10420.958,9183.31,10667.485,10028.25,9158.088,10058.68,11337.826,11427.118,9822.174,10859.509,9332.735,11119.903,11406.814,10815.828,10914.077,11305.648
75600,11431.021,10429.595,9191.022,10676.072,10036.837,9166.112,10067.499,11347.562,11436.584,9831.174,10868.847,9340.127,11129.443,11416.031,10824.584,10922.9,11315.506
75700,11441.265,10437.563,9199.241,10684.562,10045.167,9174.055,10075.65,11357.316,11445.927,9839.356,10877.857,9347.77,11138.4,11425.211,10833.267,10931.749,11325.34
75800,11451.228,10446.221,9206.955,10693.477,10053.364,9181.977,10083.603,11366.779,11455.005,9847.902,10887.85,9355.676,11147.739,11434.943,10842.024,10940.62,11335.755
75900,11462.032,10454.603,9214.213,10702.443,10062.415,9189.755,10091.62,11376.092,11464.675,9856.696,10897.13,9362.958,11157.348,11444.379,10850.581,10949.315,11345.855
76000,11472.454,10463.261,9221.832,10711.188,10070.727,9197.013,10099.811,11385.676,11473.951,9865.337,10905.91,9370.698,11166.635,11453.916,10859.575,10958.471,11355.78
76100,11483.614,10472.159,9229.306,10720.224,10079.442,9204.917,10108.412,11395.718,11483.05,9873.977,10915.625,9378.3,11175.571,11462.675,10868.052,10967.737,11365.923
76200,11493.649,10481.896,9236.67,10729.237,10088.513,9212.115,10116.759,11405.409,11492.063,9882.2,10924.607,9385.84,11184.205,11472.458,10876.75,10976.588,11375.814
76300,11503.989,10490.684,9244.33,10737.955,10097.17,9219.161,10125.324,11415.853,11501.222,9890.515,10934.605,9393.502,11193.601,11482.498,10885.508,10985.127,11386.444
76400,11513.831,10499.553,9252.279,10746.329,10105.343,9226.797,10133.728,11425.34,11511.021,9898.755,10943.236,9400.601,11202.778,11491.922,10894.665,10993.552,11396.647
76500,11523.779,10508.227,9259.834,10755.514,10113.678,9233.72,10141.966,11434.711,11520.468,9906.942,10952.771,9408.258,11212.136,11501.246,10903.037,11002.334,11406.482
76600,11534.772,10517.437,9267.448,10763.863,10122.422,9241.282,10150.64,11444.674,11529.902,9915.195,10961.488,9415.776,11220.809,11510.356,10911.436,11011.538,11415.753
76700,11544.904,10526.415,9274.872,10772.516,10130.861,9248.886,10159.086,11454.381,11540.141,9923.568,10971.055,9423.181,11229.716,11519.349,10920.343,11020.087,11425.706
76800,11554.649,10535.711,9282.281,10781.767,10139.026,9256.057,10168.101,11464.78,11550.255,9931.965,10980.935,9431.053,11239.142,11528.651,10928.754,11028.487,11435.798
76900,11565.193,10544.842,9289.949,10790.848,10147.993,9262.951,10176.119,11475.007,11559.879,9940.673,10990.107,9439.384,11247.992,11537.651,10937.331,11037.002,11446.612
77000,11575.918,10554.276,9297.433,10799.251,10156.416,9270.431,10184.742,11484.223,11569.123,9948.617,10999.459,9447.147,11256.979,11547.161,10945.316,11045.696,11457.218
77100,11585.646,10563.165,9305.133,10808.018,10164.993,9277.953,10193.332,11494.27,11578.528,9957.111,11008.609,9454.816,11266.181,11556.375,10953.877,11054.552,11466.968
77200,11596.19,10572.661,9312.712,10816.653,10173.849,9285.747,10201.169,11503.905,11587.254,9965.201,11018.041,9462.502,11275.255,11565.7,10963.328,11063.367,11476.361
77300,11606.47,10581.515,9320.056,10825.214,10182.318,9293.169,10209.606,11513.481,11596.743,9973.585,11027.404,9470.589,11284.692,11575.416,10971.724,11071.864,11487.109
77400,11616.063,10590.197,9327.801,10833.444,10190.457,9300.992,10218.008,11523.118,11605.885,9981.904,11036.447,9478.434,11294.302,11584.735,10980.075,11080.705,11496.976
77500,11626.538,10599.397,9335.684,10841.624,10198.949,9308.837,10226.156,11532.777,11615.443,9990.019,11045.647,9485.826,11303.955,11594.554,10988.747,11089.113,11507.374
