Genus,depth,Percent_Abundance,guild
Desulfuromusa_AC1,2.5,0.10273269,3
Desulfuromusa_AC2,2.5,0.084871632,3
SEEP-SRB1_AC1,2.5,0.082186152,1
SEEP-SRB1_AC2,2.5,0.084871632,1
Desulfobacula_AC1,2.5,0.10273269,1
Desulfobacula_AC2,2.5,0.254614895,1
Desulfosarcina_AC1,2.5,0.020546538,1
Desulfosarcina_AC2,2.5,0.042435816,1
Gallionella_AC1,2.5,0.020546538,5
Gallionella_AC2,2.5,0,5
Fe/SO42-,3.5,2.135689862,-9
SRB,3.5,0.697383256,-10
FeRB,3.5,1.062994461,-8
SOB,3.5,1.145794816,-7
FeOB,3.5,0.136497892,-6
Desulfobulbus_AC1,3.5,0.390320062,2
Desulfobulbus_AC2,3.5,0.341130604,2
Desulfococcus_AC1,3.5,0.039032006,1
Desulfococcus_AC2,3.5,0.048732943,1
Sva0081_sediment_group_AC1,3.5,0.117096019,1
Sva0081_sediment_group_AC2,3.5,0.048732943,1
Arcobacter_AC1,3.5,0.117096019,4
Arcobacter_AC2,3.5,0.121832359,4
Cocleimonas_AC1,3.5,0.078064012,4
Cocleimonas_AC2,3.5,0.121832359,4
Thiobacillus_AC1,3.5,0.117096019,4
Thiobacillus_AC2,3.5,0.219298246,4
Sulfurimonas_AC1,3.5,0.156128025,4
Sulfurimonas_AC2,3.5,0.170565302,4
Sulfurovum_AC1,3.5,0.019516003,4
Sulfurovum_AC2,3.5,0.024366472,4
Mariprofundus_AC1,3.5,0.019516003,5
Mariprofundus_AC2,3.5,0.048732943,5
Deferrisoma_AC1,3.5,0.175644028,3
Deferrisoma_AC2,3.5,0.243664717,3
Geobacter_AC1,3.5,0.136612022,3
Geobacter_AC2,3.5,0.097465887,3
Geothermobacter_AC1,3.5,0.058548009,3
Geothermobacter_AC2,3.5,0.048732943,3
Geopsychrobacter_AC1,3.5,0.078064012,3
Geopsychrobacter_AC2,3.5,0.024366472,3
Sva1033_unclassified_AC1,3.5,0.6245121,2
Sva1033_unclassified_AC2,3.5,0.779727096,2
Desulfuromusa_AC1,3.5,0.078064012,3
Desulfuromusa_AC2,3.5,0.121832359,3
SEEP-SRB1_AC1,3.5,0.058548009,1
SEEP-SRB1_AC2,3.5,0.048732943,1
Desulfobacula_AC1,3.5,0.175644028,1
Desulfobacula_AC2,3.5,0.097465887,1
Desulfosarcina_AC1,3.5,0.039032006,1
Desulfosarcina_AC2,3.5,0.024366472,1
Gallionella_AC1,3.5,0.019516003,5
Gallionella_AC2,3.5,0.048732943,5
Fe/SO42-,4.5,1.476327847,-9
SRB,4.5,0.373324284,-10
FeRB,4.5,0.390293569,-8
SOB,4.5,0.543017139,-7
FeOB,4.5,0.084846428,-6
Desulfobulbus_AC1,4.5,NA,2
Desulfobulbus_AC2,4.5,0.509078568,2
Desulfococcus_AC1,4.5,NA,1
Desulfococcus_AC2,4.5,0.050907857,1
Sva0081_sediment_group_AC1,4.5,NA,1
Sva0081_sediment_group_AC2,4.5,0.084846428,1
Arcobacter_AC1,4.5,NA,4
Arcobacter_AC2,4.5,0.101815714,4
Cocleimonas_AC1,4.5,NA,4
Cocleimonas_AC2,4.5,0.084846428,4
Thiobacillus_AC1,4.5,NA,4
Thiobacillus_AC2,4.5,0.15272357,4
Sulfurimonas_AC1,4.5,NA,4
Sulfurimonas_AC2,4.5,0.15272357,4
Sulfurovum_AC1,4.5,NA,4
Sulfurovum_AC2,4.5,0.050907857,4
Mariprofundus_AC1,4.5,NA,5
Mariprofundus_AC2,4.5,0.033938571,5
Deferrisoma_AC1,4.5,NA,3
Deferrisoma_AC2,4.5,0.220600713,3
Geobacter_AC1,4.5,NA,3
